ST04Q01,EC12Q01,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,2 or more but less than 4,39.0,93.0,382.0,82.0,172.0,72.0,37.0,40.0,229.0,,127.0,123.0,420.0,113.0,720.0,207.0,67.0
Female,4 or more but less than 6,11.0,133.0,282.0,44.0,52.0,68.0,37.0,20.0,119.0,2.0,65.0,67.0,85.0,44.0,467.0,146.0,45.0
Female,6 or more,21.0,86.0,250.0,36.0,19.0,62.0,70.0,12.0,105.0,,74.0,47.0,77.0,77.0,220.0,65.0,13.0
Female,Less than 2,31.0,73.0,432.0,144.0,177.0,42.0,56.0,65.0,193.0,3.0,71.0,150.0,651.0,79.0,461.0,121.0,62.0
Female,None,514.0,746.0,2688.0,850.0,329.0,452.0,150.0,390.0,1594.0,96.0,154.0,877.0,1452.0,197.0,431.0,544.0,231.0
Male,2 or more but less than 4,73.0,105.0,364.0,111.0,153.0,95.0,42.0,49.0,278.0,10.0,105.0,128.0,365.0,143.0,706.0,308.0,114.0
Male,4 or more but less than 6,15.0,136.0,257.0,58.0,44.0,106.0,26.0,14.0,148.0,,48.0,69.0,121.0,61.0,390.0,175.0,58.0
Male,6 or more,35.0,63.0,286.0,47.0,13.0,125.0,74.0,22.0,133.0,,71.0,56.0,76.0,95.0,208.0,87.0,25.0
Male,Less than 2,60.0,97.0,543.0,122.0,130.0,61.0,82.0,81.0,273.0,4.0,86.0,172.0,654.0,113.0,483.0,206.0,118.0
Male,None,620.0,692.0,3194.0,772.0,305.0,473.0,174.0,480.0,1768.0,191.0,131.0,922.0,1444.0,260.0,461.0,723.0,373.0
