ST04Q01,IC06Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,01,,,179.0,32.0,115.0,,,,297.0,1153.0,748.0,,,268.0,80.0,31.0,16.0,22.0,37.0,,,34.0,156.0,69.0,97.0,7.0,,109.0,106.0,420.0,392.0,842.0,,571.0,57.0,2.0,,,192.0,,,1735.0,,23.0,82.0,9.0,52.0,,67.0,177.0,,,164.0,129.0,249.0,120.0,49.0,389.0,11.0,98.0,,,627.0,,,,240.0,
Female,02,,,507.0,318.0,503.0,,,,346.0,468.0,478.0,,,351.0,247.0,193.0,178.0,91.0,370.0,,,205.0,325.0,206.0,218.0,89.0,,459.0,227.0,1916.0,527.0,476.0,,635.0,153.0,21.0,,,210.0,,,2605.0,,151.0,251.0,77.0,61.0,,189.0,346.0,,,191.0,233.0,347.0,159.0,238.0,1208.0,117.0,786.0,,,502.0,,,,212.0,
Female,03,,,730.0,490.0,794.0,,,,394.0,317.0,420.0,,,268.0,381.0,339.0,387.0,189.0,678.0,,,356.0,293.0,283.0,324.0,205.0,,535.0,264.0,2637.0,445.0,439.0,,452.0,246.0,26.0,,,256.0,,,2282.0,,314.0,342.0,212.0,75.0,,311.0,474.0,,,207.0,299.0,416.0,212.0,427.0,1814.0,289.0,1137.0,,,339.0,,,,236.0,
Female,04,,,1644.0,666.0,1218.0,,,,848.0,363.0,653.0,,,568.0,759.0,753.0,965.0,527.0,1428.0,,,601.0,743.0,533.0,695.0,487.0,,714.0,595.0,4517.0,616.0,851.0,,461.0,578.0,51.0,,,692.0,,,4342.0,,650.0,555.0,597.0,162.0,,677.0,804.0,,,559.0,648.0,706.0,581.0,836.0,3644.0,621.0,1628.0,,,535.0,,,,582.0,
Female,05,,,2003.0,518.0,891.0,,,,791.0,229.0,452.0,,,438.0,588.0,847.0,1047.0,902.0,1255.0,,,529.0,574.0,619.0,661.0,522.0,,477.0,498.0,3270.0,585.0,421.0,,177.0,713.0,26.0,,,774.0,,,3239.0,,518.0,501.0,749.0,262.0,,716.0,637.0,,,734.0,618.0,592.0,695.0,701.0,2916.0,689.0,1141.0,,,211.0,,,,636.0,
Female,06,,,1124.0,159.0,282.0,,,,403.0,62.0,202.0,,,225.0,236.0,297.0,529.0,445.0,359.0,,,204.0,254.0,249.0,293.0,212.0,,160.0,242.0,1110.0,187.0,206.0,,34.0,299.0,7.0,,,340.0,,,1613.0,,174.0,228.0,378.0,143.0,,287.0,247.0,,,396.0,204.0,263.0,267.0,262.0,1255.0,321.0,403.0,,,56.0,,,,345.0,
Female,07,,,629.0,115.0,145.0,,,,308.0,36.0,135.0,,,117.0,168.0,137.0,216.0,192.0,130.0,,,111.0,184.0,120.0,148.0,72.0,,63.0,212.0,567.0,153.0,191.0,,5.0,123.0,3.0,,,117.0,,,972.0,,231.0,102.0,158.0,95.0,,115.0,104.0,,,314.0,164.0,152.0,131.0,131.0,947.0,181.0,236.0,,,32.0,,,,227.0,
Female,97,,3093.0,111.0,25.0,103.0,10175.0,2578.0,10943.0,30.0,1.0,6.0,4807.0,845.0,107.0,1.0,5.0,54.0,15.0,32.0,952.0,2375.0,358.0,3.0,69.0,12.0,32.0,2860.0,5.0,520.0,34.0,27.0,2.0,2931.0,1.0,4.0,,2283.0,2581.0,6.0,2745.0,892.0,65.0,2373.0,59.0,12.0,37.0,1.0,3118.0,16.0,28.0,5305.0,2572.0,7.0,23.0,6.0,27.0,20.0,52.0,27.0,15.0,3736.0,2390.0,7.0,5792.0,6308.0,2453.0,11.0,2648.0
Female,98,,,14.0,16.0,27.0,,,,55.0,,,,,3.0,,2.0,64.0,6.0,11.0,,,17.0,2.0,,6.0,,,6.0,7.0,42.0,,26.0,,1.0,4.0,,,,,,,11.0,,,9.0,19.0,1.0,,2.0,6.0,,,,,1.0,4.0,2.0,5.0,13.0,33.0,,,2.0,,,,5.0,
Female,99,2416.0,20.0,134.0,18.0,209.0,,,,40.0,8.0,17.0,,,115.0,20.0,76.0,321.0,20.0,70.0,,,47.0,42.0,13.0,75.0,113.0,,17.0,154.0,730.0,89.0,161.0,,5.0,11.0,2.0,,,17.0,,,689.0,,25.0,49.0,55.0,10.0,,8.0,30.0,,,42.0,50.0,20.0,35.0,33.0,460.0,109.0,102.0,,,59.0,,,,332.0,
Male,01,,,232.0,45.0,126.0,,,,238.0,1058.0,575.0,,,180.0,139.0,53.0,25.0,37.0,24.0,,,33.0,184.0,87.0,77.0,16.0,,116.0,140.0,587.0,479.0,633.0,,582.0,61.0,,,,251.0,,,1821.0,,26.0,107.0,24.0,99.0,,76.0,151.0,,,243.0,117.0,211.0,150.0,100.0,516.0,30.0,102.0,,,389.0,,,,174.0,
Male,02,,,508.0,267.0,336.0,,,,330.0,398.0,353.0,,,270.0,225.0,111.0,106.0,76.0,238.0,,,128.0,213.0,162.0,145.0,51.0,,404.0,212.0,1779.0,609.0,519.0,,492.0,139.0,11.0,,,183.0,,,2571.0,,125.0,247.0,62.0,88.0,,119.0,252.0,,,231.0,213.0,225.0,157.0,245.0,1263.0,77.0,566.0,,,488.0,,,,242.0,
Male,03,,,777.0,450.0,580.0,,,,383.0,283.0,360.0,,,286.0,349.0,271.0,278.0,169.0,563.0,,,239.0,256.0,275.0,286.0,136.0,,503.0,272.0,2545.0,579.0,527.0,,428.0,216.0,24.0,,,224.0,,,2482.0,,277.0,325.0,181.0,86.0,,214.0,312.0,,,244.0,290.0,343.0,242.0,430.0,2010.0,165.0,1039.0,,,364.0,,,,204.0,
Male,04,,,1688.0,607.0,1145.0,,,,858.0,357.0,668.0,,,460.0,674.0,688.0,737.0,506.0,1283.0,,,527.0,648.0,625.0,579.0,416.0,,689.0,484.0,4439.0,693.0,591.0,,691.0,478.0,41.0,,,581.0,,,3931.0,,622.0,521.0,530.0,163.0,,554.0,673.0,,,511.0,541.0,683.0,586.0,766.0,3662.0,379.0,1619.0,,,627.0,,,,467.0,
Male,05,,,1870.0,535.0,1014.0,,,,760.0,275.0,531.0,,,373.0,628.0,766.0,989.0,852.0,1343.0,,,569.0,583.0,717.0,592.0,568.0,,440.0,479.0,3338.0,495.0,343.0,,384.0,681.0,49.0,,,822.0,,,2561.0,,678.0,467.0,764.0,177.0,,660.0,735.0,,,567.0,526.0,684.0,668.0,746.0,2694.0,656.0,1258.0,,,334.0,,,,487.0,
Male,06,,,1155.0,219.0,351.0,,,,357.0,81.0,193.0,,,186.0,263.0,362.0,651.0,415.0,532.0,,,282.0,282.0,292.0,291.0,251.0,,138.0,205.0,1085.0,151.0,140.0,,69.0,297.0,19.0,,,373.0,,,1152.0,,216.0,211.0,395.0,115.0,,321.0,374.0,,,355.0,228.0,323.0,325.0,340.0,1021.0,440.0,494.0,,,122.0,,,,265.0,
Male,07,,,802.0,186.0,256.0,,,,285.0,79.0,228.0,,,159.0,199.0,283.0,415.0,237.0,236.0,,,242.0,300.0,192.0,214.0,168.0,,98.0,161.0,844.0,126.0,226.0,,29.0,196.0,11.0,,,254.0,,,874.0,,210.0,150.0,259.0,154.0,,221.0,268.0,,,398.0,291.0,279.0,229.0,416.0,861.0,385.0,352.0,,,88.0,,,,284.0,
Male,97,,2777.0,116.0,31.0,182.0,9029.0,2704.0,10601.0,40.0,2.0,3.0,4266.0,852.0,127.0,8.0,6.0,99.0,21.0,88.0,944.0,2238.0,449.0,12.0,129.0,15.0,45.0,2762.0,19.0,112.0,56.0,67.0,13.0,2877.0,2.0,12.0,,2335.0,2677.0,4.0,2452.0,831.0,63.0,2371.0,115.0,30.0,43.0,2.0,2917.0,34.0,48.0,5661.0,2502.0,13.0,25.0,12.0,43.0,58.0,57.0,42.0,29.0,2870.0,2017.0,6.0,5708.0,6351.0,2525.0,13.0,2311.0
Male,98,,,29.0,16.0,34.0,,,,39.0,,1.0,,,,4.0,,54.0,16.0,40.0,,,14.0,10.0,1.0,6.0,4.0,,12.0,4.0,61.0,,109.0,,1.0,7.0,,,,4.0,,,18.0,,,9.0,41.0,1.0,,,2.0,,,5.0,5.0,3.0,8.0,5.0,11.0,20.0,38.0,,,2.0,,,,9.0,
Male,99,2327.0,18.0,229.0,42.0,286.0,,,,54.0,7.0,23.0,,,101.0,39.0,107.0,350.0,41.0,112.0,,,56.0,61.0,29.0,76.0,114.0,,52.0,161.0,1096.0,131.0,322.0,,13.0,31.0,,,,35.0,,,780.0,,46.0,93.0,96.0,14.0,,20.0,54.0,,,50.0,80.0,31.0,39.0,106.0,528.0,164.0,153.0,,,58.0,,,,344.0,
