ST04Q01,ST62Q09,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,125.0,268.0,922.0,182.0,308.0,1123.0,105.0,922.0,203.0,20.0,268.0,415.0,81.0,232.0,68.0,256.0,496.0,192.0,444.0,96.0,288.0,174.0,82.0,199.0,94.0,160.0,351.0,335.0,244.0,1094.0,176.0,107.0,155.0,65.0,119.0,9.0,240.0,272.0,144.0,356.0,95.0,2667.0,103.0,142.0,349.0,52.0,212.0,214.0,202.0,329.0,203.0,171.0,174.0,306.0,185.0,74.0,1247.0,214.0,590.0,124.0,86.0,65.0,275.0,896.0,229.0,346.0,353.0
Female,Heard of it often,353.0,421.0,976.0,393.0,629.0,2209.0,305.0,1987.0,785.0,179.0,612.0,1119.0,132.0,373.0,338.0,494.0,351.0,540.0,332.0,192.0,314.0,351.0,349.0,378.0,421.0,231.0,821.0,343.0,292.0,2599.0,572.0,469.0,513.0,311.0,469.0,10.0,387.0,304.0,475.0,622.0,164.0,3069.0,359.0,55.0,251.0,167.0,673.0,499.0,592.0,343.0,464.0,446.0,379.0,502.0,434.0,412.0,2010.0,104.0,766.0,916.0,305.0,579.0,810.0,759.0,432.0,520.0,623.0
Female,Heard of it once or twice,73.0,257.0,858.0,119.0,175.0,806.0,84.0,428.0,90.0,4.0,139.0,252.0,64.0,158.0,16.0,95.0,544.0,68.0,569.0,39.0,196.0,61.0,60.0,68.0,33.0,84.0,235.0,331.0,209.0,607.0,60.0,125.0,79.0,14.0,41.0,9.0,161.0,235.0,45.0,237.0,58.0,2193.0,72.0,231.0,315.0,23.0,165.0,75.0,91.0,376.0,152.0,76.0,38.0,153.0,71.0,13.0,635.0,389.0,488.0,133.0,58.0,24.0,207.0,789.0,120.0,190.0,126.0
Female,"Know it well,  understand the concept",815.0,890.0,902.0,700.0,1261.0,1826.0,1106.0,3426.0,1183.0,1563.0,897.0,1041.0,236.0,691.0,1169.0,884.0,241.0,756.0,240.0,269.0,459.0,738.0,1202.0,689.0,1101.0,270.0,332.0,321.0,553.0,5342.0,1165.0,1570.0,1145.0,1145.0,797.0,29.0,528.0,526.0,1072.0,353.0,246.0,2149.0,959.0,32.0,129.0,323.0,769.0,793.0,919.0,1002.0,755.0,988.0,913.0,733.0,703.0,1238.0,3924.0,48.0,1110.0,1242.0,997.0,867.0,2319.0,684.0,781.0,584.0,608.0
Female,Never heard of it,36.0,122.0,909.0,134.0,348.0,263.0,56.0,332.0,50.0,1.0,185.0,80.0,40.0,95.0,15.0,35.0,755.0,23.0,1268.0,15.0,243.0,59.0,29.0,69.0,16.0,382.0,128.0,353.0,431.0,393.0,50.0,74.0,54.0,4.0,13.0,33.0,199.0,363.0,14.0,213.0,22.0,1368.0,25.0,881.0,363.0,13.0,44.0,20.0,37.0,1255.0,81.0,57.0,17.0,129.0,36.0,17.0,418.0,758.0,647.0,63.0,43.0,15.0,132.0,962.0,46.0,104.0,19.0
Male,Heard of it a few times,133.0,245.0,977.0,225.0,318.0,1073.0,195.0,1019.0,259.0,50.0,280.0,438.0,96.0,208.0,162.0,296.0,528.0,230.0,550.0,111.0,236.0,168.0,155.0,246.0,142.0,163.0,407.0,307.0,217.0,1358.0,202.0,244.0,215.0,125.0,171.0,9.0,251.0,256.0,197.0,389.0,78.0,2557.0,178.0,209.0,287.0,81.0,263.0,253.0,267.0,479.0,239.0,225.0,230.0,311.0,277.0,202.0,1307.0,253.0,592.0,223.0,90.0,148.0,413.0,877.0,273.0,284.0,356.0
Male,Heard of it often,348.0,380.0,913.0,322.0,576.0,1698.0,363.0,1881.0,645.0,218.0,506.0,925.0,131.0,317.0,418.0,485.0,340.0,486.0,324.0,174.0,269.0,297.0,303.0,373.0,448.0,170.0,629.0,294.0,235.0,2732.0,594.0,432.0,548.0,363.0,407.0,14.0,325.0,298.0,434.0,440.0,146.0,2632.0,367.0,92.0,246.0,138.0,634.0,418.0,570.0,457.0,471.0,444.0,368.0,455.0,491.0,527.0,1913.0,132.0,720.0,679.0,206.0,585.0,780.0,814.0,430.0,385.0,520.0
Male,Heard of it once or twice,75.0,215.0,821.0,135.0,206.0,794.0,159.0,518.0,111.0,16.0,140.0,265.0,49.0,106.0,58.0,109.0,495.0,100.0,575.0,51.0,207.0,83.0,124.0,74.0,81.0,137.0,297.0,326.0,178.0,741.0,88.0,260.0,169.0,49.0,93.0,15.0,231.0,190.0,58.0,283.0,49.0,2123.0,128.0,246.0,302.0,42.0,214.0,132.0,122.0,456.0,210.0,110.0,63.0,173.0,124.0,117.0,710.0,357.0,465.0,212.0,93.0,82.0,401.0,747.0,154.0,188.0,120.0
Male,"Know it well,  understand the concept",787.0,705.0,1058.0,655.0,1283.0,1616.0,820.0,2972.0,1067.0,1373.0,813.0,867.0,231.0,575.0,1001.0,758.0,356.0,667.0,286.0,254.0,432.0,689.0,953.0,850.0,784.0,230.0,219.0,279.0,423.0,4855.0,1180.0,890.0,799.0,1252.0,677.0,41.0,400.0,599.0,1055.0,275.0,222.0,1702.0,718.0,70.0,202.0,294.0,646.0,581.0,800.0,909.0,625.0,794.0,765.0,690.0,594.0,1094.0,3618.0,127.0,1248.0,653.0,752.0,751.0,1681.0,748.0,656.0,482.0,520.0
Male,Never heard of it,39.0,145.0,939.0,192.0,355.0,323.0,118.0,424.0,64.0,14.0,167.0,99.0,32.0,85.0,32.0,58.0,605.0,70.0,1117.0,18.0,259.0,99.0,88.0,104.0,31.0,364.0,199.0,395.0,338.0,523.0,63.0,240.0,118.0,7.0,47.0,26.0,270.0,347.0,33.0,213.0,32.0,1499.0,76.0,801.0,328.0,22.0,41.0,53.0,53.0,827.0,114.0,84.0,54.0,206.0,88.0,72.0,640.0,623.0,690.0,125.0,67.0,50.0,282.0,913.0,67.0,150.0,26.0
