ST04Q01,ST94Q06,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Mostly like me,506.0,491.0,1475.0,588.0,1018.0,2094.0,662.0,2523.0,821.0,530.0,525.0,899.0,189.0,408.0,716.0,632.0,894.0,526.0,1062.0,214.0,473.0,547.0,686.0,457.0,794.0,334.0,818.0,559.0,605.0,3486.0,411.0,943.0,828.0,383.0,567.0,33.0,564.0,604.0,408.0,648.0,211.0,2945.0,611.0,549.0,404.0,440.0,231.0,703.0,652.0,739.0,1365.0,709.0,655.0,628.0,592.0,406.0,636.0,2781.0,573.0,1384.0,693.0,592.0,649.0,1471.0,1367.0,477.0,517.0,338.0
Female,Not at all like me,15.0,95.0,179.0,37.0,94.0,182.0,20.0,204.0,55.0,41.0,71.0,78.0,16.0,45.0,21.0,42.0,63.0,29.0,72.0,18.0,47.0,21.0,16.0,24.0,21.0,65.0,18.0,57.0,50.0,261.0,201.0,36.0,14.0,58.0,10.0,4.0,18.0,34.0,54.0,23.0,12.0,395.0,14.0,23.0,56.0,45.0,9.0,21.0,20.0,34.0,69.0,32.0,35.0,16.0,44.0,88.0,26.0,227.0,50.0,66.0,43.0,58.0,24.0,56.0,140.0,51.0,67.0,88.0
Female,Not much like me,73.0,330.0,741.0,170.0,423.0,808.0,108.0,799.0,253.0,309.0,449.0,333.0,56.0,184.0,86.0,262.0,293.0,215.0,387.0,63.0,247.0,97.0,83.0,279.0,113.0,186.0,88.0,244.0,185.0,1332.0,562.0,104.0,97.0,410.0,150.0,7.0,148.0,205.0,371.0,253.0,58.0,2092.0,36.0,158.0,266.0,207.0,71.0,179.0,142.0,193.0,214.0,109.0,211.0,59.0,314.0,301.0,166.0,1316.0,184.0,431.0,287.0,143.0,106.0,246.0,656.0,191.0,317.0,512.0
Female,Somewhat like me,232.0,646.0,1548.0,468.0,945.0,2026.0,395.0,2048.0,669.0,529.0,801.0,970.0,152.0,488.0,579.0,662.0,806.0,456.0,929.0,184.0,507.0,445.0,403.0,550.0,457.0,316.0,616.0,513.0,399.0,3549.0,665.0,376.0,389.0,600.0,551.0,33.0,536.0,509.0,698.0,674.0,174.0,4407.0,188.0,480.0,512.0,412.0,181.0,580.0,444.0,590.0,766.0,372.0,483.0,304.0,663.0,540.0,645.0,2692.0,402.0,1279.0,1258.0,299.0,416.0,859.0,1413.0,514.0,585.0,750.0
Female,Very much like me,500.0,380.0,621.0,297.0,311.0,1286.0,431.0,1579.0,515.0,330.0,195.0,624.0,133.0,389.0,257.0,147.0,401.0,348.0,420.0,140.0,250.0,277.0,481.0,123.0,302.0,191.0,306.0,307.0,544.0,1433.0,147.0,900.0,589.0,122.0,172.0,18.0,213.0,301.0,164.0,224.0,108.0,1625.0,669.0,175.0,133.0,386.0,79.0,366.0,325.0,296.0,929.0,461.0,357.0,527.0,211.0,125.0,253.0,1299.0,367.0,548.0,180.0,404.0,380.0,1091.0,561.0,359.0,326.0,86.0
Male,Mostly like me,519.0,514.0,1860.0,597.0,1029.0,2054.0,634.0,2527.0,825.0,598.0,624.0,964.0,224.0,445.0,721.0,684.0,935.0,568.0,1099.0,227.0,465.0,621.0,674.0,611.0,748.0,405.0,733.0,599.0,541.0,3981.0,613.0,800.0,798.0,546.0,564.0,45.0,621.0,678.0,518.0,551.0,207.0,3136.0,587.0,712.0,499.0,497.0,231.0,717.0,625.0,738.0,1304.0,727.0,647.0,573.0,710.0,499.0,859.0,3190.0,530.0,1475.0,665.0,473.0,633.0,1417.0,1669.0,550.0,473.0,334.0
Male,Not at all like me,11.0,50.0,88.0,21.0,63.0,139.0,39.0,143.0,39.0,34.0,69.0,48.0,9.0,17.0,24.0,31.0,36.0,26.0,53.0,15.0,35.0,10.0,32.0,28.0,15.0,25.0,24.0,30.0,22.0,250.0,142.0,55.0,23.0,50.0,22.0,,41.0,32.0,35.0,43.0,5.0,275.0,16.0,17.0,35.0,30.0,12.0,25.0,29.0,26.0,90.0,34.0,33.0,20.0,37.0,87.0,24.0,167.0,24.0,39.0,27.0,24.0,25.0,95.0,65.0,29.0,53.0,70.0
Male,Not much like me,50.0,186.0,528.0,97.0,209.0,445.0,89.0,519.0,145.0,195.0,279.0,195.0,29.0,94.0,61.0,170.0,163.0,164.0,240.0,34.0,154.0,63.0,71.0,161.0,81.0,102.0,101.0,181.0,79.0,948.0,451.0,90.0,107.0,332.0,119.0,5.0,140.0,80.0,281.0,172.0,29.0,1399.0,30.0,89.0,178.0,126.0,71.0,136.0,97.0,131.0,171.0,107.0,153.0,40.0,179.0,236.0,94.0,718.0,101.0,251.0,176.0,80.0,85.0,206.0,396.0,112.0,148.0,343.0
Male,Somewhat like me,197.0,535.0,1494.0,382.0,760.0,1431.0,372.0,1646.0,533.0,429.0,665.0,670.0,134.0,371.0,423.0,549.0,622.0,483.0,886.0,151.0,359.0,300.0,294.0,546.0,320.0,274.0,581.0,461.0,253.0,2971.0,709.0,270.0,376.0,652.0,508.0,26.0,512.0,396.0,744.0,549.0,115.0,3654.0,164.0,390.0,474.0,365.0,172.0,467.0,359.0,549.0,657.0,335.0,475.0,223.0,603.0,515.0,561.0,2148.0,316.0,871.0,821.0,268.0,424.0,664.0,1271.0,429.0,394.0,590.0
Male,Very much like me,504.0,425.0,881.0,459.0,566.0,1444.0,581.0,2033.0,637.0,439.0,329.0,653.0,161.0,430.0,415.0,276.0,550.0,327.0,564.0,164.0,404.0,417.0,612.0,281.0,307.0,309.0,353.0,338.0,476.0,2184.0,252.0,882.0,593.0,197.0,199.0,22.0,228.0,539.0,260.0,215.0,169.0,2124.0,722.0,259.0,205.0,515.0,112.0,407.0,363.0,414.0,1002.0,446.0,386.0,615.0,335.0,198.0,472.0,1989.0,491.0,1005.0,242.0,401.0,442.0,1200.0,744.0,463.0,450.0,143.0
