ST04Q01,HERITCUL,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,-0.2535,,1.0,,,,,,,,
Female,-0.2995,,2.0,3.0,,,,1.0,,,1.0
Female,-0.364,1.0,,,,,,2.0,3.0,1.0,1.0
Female,-0.3784,153.0,193.0,98.0,34.0,194.0,7.0,99.0,231.0,255.0,77.0
Female,-0.3805,,1.0,,,,,,,1.0,
Female,-0.4136,,,,,,,,,1.0,1.0
Female,-0.4229,2.0,3.0,1.0,1.0,2.0,,,,,
Female,-0.4661,1.0,1.0,,2.0,1.0,,1.0,,2.0,1.0
Female,-0.483,,,,,,,,,1.0,
Female,-0.6333,1.0,2.0,,,1.0,,1.0,2.0,,
Female,-0.7534,76.0,110.0,56.0,54.0,115.0,1.0,31.0,35.0,50.0,28.0
Female,-0.7568,,1.0,1.0,1.0,,,,,,
Female,-0.8373,,,,,,,,1.0,2.0,
Female,-0.934,2.0,1.0,,,,,,,1.0,
Female,-0.9684,,1.0,,,,,,,,
Female,-0.9755,,1.0,,,1.0,,,1.0,1.0,
Female,-1.0403,61.0,51.0,49.0,48.0,97.0,1.0,42.0,45.0,53.0,21.0
Female,-1.0761,1.0,1.0,,,,,,,2.0,
Female,-1.1865,,1.0,1.0,,1.0,,,,,
Female,-1.2802,33.0,26.0,23.0,19.0,39.0,3.0,20.0,13.0,16.0,15.0
Female,-1.2876,,1.0,,1.0,,,,,,
Female,-1.3069,,,1.0,,,,,,,1.0
Female,-1.3501,,,1.0,,,,1.0,,,
Female,-1.3504,,2.0,,,1.0,,,,,2.0
Female,-1.4046,,,,,,,1.0,,1.0,
Female,-1.4882,,1.0,,,,,,,1.0,1.0
Female,-1.4991,33.0,22.0,22.0,24.0,43.0,5.0,18.0,12.0,13.0,5.0
Female,-1.5754,,1.0,,3.0,1.0,,,1.0,,
Female,-1.5827,,1.0,,,,,,,1.0,1.0
Female,-1.6069,,,,,1.0,,,,,
Female,-1.6145,,,,1.0,,,,,,
Female,-1.6248,1.0,,1.0,,,,,,,
Female,-1.6526,1.0,,,,,,,,,
Female,-1.7131,8.0,5.0,15.0,10.0,24.0,,13.0,,2.0,4.0
Female,-1.7176,1.0,1.0,,,,,,,,
Female,-1.8441,,,,,1.0,,,,,
Female,-1.9402,8.0,13.0,15.0,11.0,9.0,,12.0,,2.0,1.0
Female,-2.0872,,,,,,,,,1.0,1.0
Female,-2.1461,,,,,1.0,,,,,
Female,-2.2204,1.0,3.0,7.0,1.0,3.0,,2.0,1.0,,3.0
Female,-2.2667,,1.0,1.0,,,,,,,
Female,-2.3973,,,1.0,,,,,,,
Female,-2.6627,,1.0,,,,,,,,
Female,-2.6639,,,,,1.0,,,,,
Female,-2.7311,10.0,3.0,14.0,3.0,16.0,1.0,16.0,3.0,3.0,5.0
Female,0.0159,81.0,98.0,80.0,10.0,115.0,,29.0,62.0,71.0,35.0
Female,0.09,,1.0,1.0,,,,,,1.0,
Female,0.1011,1.0,,,1.0,,,,,,1.0
Female,0.1388,,,,,2.0,,1.0,,,
Female,0.1986,1.0,,1.0,,1.0,,,,2.0,
Female,0.2339,,,,3.0,,,,,1.0,1.0
Female,0.3574,74.0,102.0,111.0,11.0,129.0,4.0,28.0,65.0,75.0,36.0
Female,0.4323,,,,,,,1.0,,,
Female,0.5324,,1.0,,,,,,,2.0,
Female,0.5398,,1.0,,,1.0,,1.0,,,
Female,0.5772,,2.0,,,,,,,2.0,
Female,0.6263,,,,,1.0,,,,,
Female,0.7194,62.0,95.0,79.0,11.0,112.0,2.0,15.0,50.0,67.0,29.0
Female,0.9414,1.0,2.0,,,,,,1.0,1.0,
Female,1.0165,,,,,1.0,,,,1.0,
Female,1.0716,2.0,,1.0,,,,,,,
Female,1.1267,,,,,1.0,,,,,
Female,1.159,1.0,2.0,,,,,,,,
Female,1.166,,,,,,,,,4.0,2.0
Female,1.2036,1.0,1.0,,,,,1.0,,2.0,
Female,1.2432,1.0,,,,1.0,,,,,
Female,1.305,144.0,186.0,157.0,9.0,212.0,3.0,52.0,326.0,255.0,88.0
Male,-0.2995,,6.0,,1.0,,,1.0,2.0,,
Male,-0.364,1.0,2.0,,,,,,1.0,2.0,
Male,-0.3784,175.0,172.0,116.0,54.0,209.0,15.0,91.0,220.0,336.0,104.0
Male,-0.4136,,1.0,,,,,,,,
Male,-0.4229,3.0,2.0,1.0,1.0,,,,1.0,1.0,
Male,-0.4661,3.0,3.0,,1.0,1.0,,,1.0,3.0,1.0
Male,-0.6333,1.0,3.0,,2.0,1.0,,,,1.0,
Male,-0.7534,68.0,95.0,63.0,50.0,146.0,6.0,31.0,58.0,69.0,32.0
Male,-0.7568,1.0,,,,2.0,,,,,
Male,-0.8373,,4.0,,,2.0,,,,,
Male,-0.8533,,,,,1.0,,,,,
Male,-0.934,1.0,,,,1.0,,,,2.0,
Male,-0.9684,,1.0,1.0,,,,,,,
Male,-0.9755,1.0,1.0,,1.0,1.0,,,,1.0,
Male,-1.0171,,,,,,,,,,1.0
Male,-1.0403,56.0,70.0,64.0,33.0,111.0,2.0,42.0,45.0,72.0,35.0
Male,-1.0761,1.0,,1.0,,1.0,,1.0,,1.0,
Male,-1.1865,,,,1.0,,,,1.0,,
Male,-1.1873,,,,,1.0,,,,,
Male,-1.2802,37.0,46.0,40.0,21.0,50.0,,17.0,17.0,34.0,15.0
Male,-1.2876,2.0,1.0,1.0,,,,,,1.0,
Male,-1.3069,,,,,,1.0,,,,3.0
Male,-1.3501,,4.0,1.0,,1.0,,,,,1.0
Male,-1.4882,,,,,1.0,,,,,
Male,-1.4991,29.0,28.0,27.0,24.0,43.0,8.0,13.0,12.0,27.0,13.0
Male,-1.5754,1.0,,,1.0,,,,,,
Male,-1.5827,1.0,,,1.0,1.0,,,,,
Male,-1.6069,,1.0,,,,,,,,
Male,-1.6145,,,,,,,,,1.0,
Male,-1.6248,,,,,1.0,,,,,
Male,-1.7131,12.0,11.0,12.0,13.0,16.0,,8.0,5.0,8.0,2.0
Male,-1.7176,1.0,,,,1.0,,,,1.0,
Male,-1.7743,1.0,1.0,,,,,,,,1.0
Male,-1.8441,,,,,1.0,,,,,
Male,-1.8463,,1.0,,1.0,,,,,,
Male,-1.9402,6.0,3.0,14.0,8.0,16.0,2.0,6.0,3.0,2.0,5.0
Male,-1.9521,,1.0,,,,,,,,
Male,-2.2204,6.0,5.0,13.0,2.0,1.0,3.0,3.0,1.0,,
Male,-2.3973,,1.0,,,,,,,,
Male,-2.5184,,1.0,,,,,,,1.0,
Male,-2.7311,21.0,11.0,12.0,6.0,27.0,10.0,15.0,9.0,13.0,7.0
Male,0.0159,67.0,91.0,83.0,20.0,125.0,6.0,23.0,61.0,87.0,36.0
Male,0.09,,1.0,,,,,,,1.0,1.0
Male,0.1011,1.0,1.0,,,2.0,,,,,
Male,0.1388,2.0,,,1.0,3.0,,,3.0,1.0,
Male,0.1986,,1.0,1.0,,1.0,,,,,
Male,0.2339,,1.0,,,1.0,,,,,
Male,0.2871,,1.0,,,,,,1.0,,
Male,0.2979,,1.0,,,,,,,1.0,
Male,0.3574,57.0,82.0,74.0,10.0,108.0,2.0,29.0,62.0,82.0,50.0
Male,0.381,,,,,2.0,,,,,
Male,0.4323,,,,,1.0,,,,,
Male,0.5324,1.0,2.0,,,2.0,,,,1.0,
Male,0.5398,,,,,1.0,,1.0,,,
Male,0.5772,1.0,1.0,,,1.0,,,2.0,3.0,
Male,0.6263,,1.0,,,,,,,,
Male,0.7194,59.0,82.0,70.0,10.0,95.0,1.0,15.0,54.0,67.0,28.0
Male,0.9414,2.0,2.0,,1.0,,,,,1.0,1.0
Male,1.0801,,1.0,,,,,,,,
Male,1.1267,,1.0,,1.0,,,,,,
Male,1.159,,2.0,1.0,,1.0,,,,1.0,
Male,1.166,,1.0,,,,,,,2.0,
Male,1.2036,,,,,,,,,1.0,
Male,1.2432,,,,,2.0,1.0,,,,
Male,1.305,182.0,155.0,108.0,25.0,291.0,17.0,76.0,419.0,481.0,112.0
