ST04Q01,IC03Q01,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,10-12 years old,756.0,602.0,1086.0,767.0,872.0,1141.0,526.0,614.0,593.0,259.0,244.0,374.0,561.0,935.0,354.0,618.0,234.0,513.0,208.0,4118.0,991.0,820.0,524.0,473.0,35.0,634.0,5993.0,193.0,201.0,222.0,373.0,776.0,766.0,513.0,627.0,785.0,515.0,2438.0,139.0,1640.0,855.0,675.0
Female,13 years old  or older,118.0,71.0,135.0,202.0,344.0,100.0,301.0,110.0,55.0,28.0,27.0,37.0,93.0,429.0,33.0,83.0,23.0,80.0,67.0,889.0,182.0,469.0,52.0,52.0,1.0,81.0,2998.0,36.0,21.0,76.0,45.0,119.0,310.0,138.0,72.0,200.0,67.0,327.0,23.0,244.0,353.0,193.0
Female,6 years old or younger,3031.0,465.0,949.0,1113.0,349.0,456.0,575.0,529.0,545.0,1702.0,936.0,1940.0,349.0,269.0,725.0,523.0,629.0,743.0,1074.0,3049.0,391.0,836.0,364.0,478.0,19.0,558.0,2173.0,1026.0,1090.0,139.0,699.0,584.0,362.0,534.0,787.0,242.0,690.0,3728.0,1169.0,938.0,284.0,611.0
Female,7-9 years old,2925.0,1169.0,1780.0,1340.0,1063.0,1389.0,848.0,1209.0,1408.0,1405.0,1170.0,1924.0,1060.0,896.0,968.0,1224.0,722.0,1178.0,803.0,6525.0,1344.0,1310.0,1396.0,1173.0,81.0,1309.0,5493.0,810.0,882.0,417.0,1253.0,1322.0,1129.0,1111.0,1242.0,943.0,1384.0,5734.0,913.0,2633.0,812.0,1031.0
Female,Never,3.0,,5.0,3.0,4.0,3.0,19.0,1.0,,1.0,,,3.0,9.0,5.0,1.0,1.0,1.0,5.0,21.0,7.0,50.0,,,,1.0,369.0,1.0,1.0,2.0,,2.0,11.0,4.0,1.0,9.0,,6.0,1.0,4.0,38.0,4.0
Male,10-12 years old,781.0,481.0,720.0,552.0,765.0,695.0,430.0,388.0,354.0,192.0,195.0,258.0,426.0,751.0,346.0,340.0,134.0,445.0,139.0,3368.0,1111.0,471.0,517.0,396.0,32.0,619.0,4698.0,177.0,189.0,182.0,244.0,636.0,594.0,319.0,503.0,629.0,355.0,2075.0,131.0,1168.0,696.0,452.0
Male,13 years old  or older,118.0,55.0,102.0,136.0,285.0,103.0,174.0,68.0,35.0,18.0,16.0,21.0,58.0,285.0,42.0,47.0,28.0,63.0,28.0,612.0,223.0,290.0,55.0,59.0,3.0,76.0,2165.0,44.0,23.0,63.0,31.0,104.0,220.0,96.0,88.0,155.0,66.0,283.0,16.0,190.0,252.0,109.0
Male,6 years old or younger,3385.0,685.0,1348.0,1284.0,483.0,723.0,577.0,854.0,921.0,1946.0,1145.0,2245.0,592.0,464.0,878.0,768.0,866.0,811.0,1209.0,4376.0,416.0,1168.0,539.0,604.0,38.0,704.0,2817.0,1036.0,1233.0,218.0,847.0,851.0,629.0,742.0,994.0,533.0,1222.0,4387.0,1272.0,1598.0,439.0,737.0
Male,7-9 years old,2766.0,1094.0,1657.0,1255.0,990.0,1386.0,731.0,1167.0,1225.0,1066.0,949.0,1698.0,959.0,959.0,1087.0,1029.0,577.0,1083.0,573.0,6416.0,1386.0,996.0,1564.0,1014.0,79.0,1294.0,5557.0,773.0,798.0,413.0,1059.0,1183.0,1100.0,1053.0,1166.0,1031.0,1417.0,5317.0,736.0,2501.0,1024.0,846.0
Male,Never,15.0,8.0,13.0,10.0,5.0,3.0,17.0,2.0,3.0,13.0,5.0,,2.0,13.0,15.0,1.0,7.0,4.0,14.0,72.0,20.0,89.0,2.0,,,12.0,392.0,7.0,11.0,8.0,3.0,7.0,12.0,13.0,2.0,12.0,35.0,45.0,14.0,28.0,28.0,13.0
