ST04Q01,IC10Q08,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,1338.0,73.0,45.0,249.0,11.0,46.0,134.0,51.0,78.0,573.0,37.0,24.0,18.0,137.0,26.0,34.0,31.0,47.0,64.0,291.0,6.0,162.0,12.0,33.0,6.0,48.0,1673.0,142.0,200.0,177.0,15.0,18.0,77.0,78.0,36.0,88.0,60.0,68.0,446.0,120.0,93.0,89.0,136.0
Female,Every day,737.0,30.0,31.0,110.0,6.0,26.0,65.0,19.0,43.0,363.0,9.0,10.0,7.0,72.0,5.0,25.0,7.0,24.0,54.0,168.0,5.0,141.0,7.0,14.0,2.0,24.0,885.0,51.0,109.0,54.0,19.0,16.0,41.0,42.0,24.0,35.0,32.0,39.0,218.0,65.0,39.0,68.0,85.0
Female,Never or hardly ever,1167.0,1579.0,2860.0,934.0,2480.0,1634.0,1240.0,1961.0,1754.0,649.0,1696.0,3529.0,1699.0,980.0,1057.0,1882.0,836.0,1841.0,1473.0,11151.0,2783.0,2187.0,1946.0,1739.0,79.0,1516.0,6306.0,804.0,581.0,573.0,616.0,1862.0,1812.0,1930.0,1859.0,1454.0,1477.0,1858.0,7865.0,1178.0,3863.0,1511.0,1545.0
Female,Once or twice a month,1415.0,385.0,692.0,1180.0,95.0,722.0,424.0,253.0,441.0,729.0,449.0,523.0,244.0,700.0,782.0,298.0,457.0,392.0,313.0,1612.0,53.0,576.0,267.0,279.0,33.0,567.0,4133.0,586.0,612.0,765.0,123.0,340.0,556.0,324.0,216.0,796.0,365.0,398.0,1953.0,531.0,981.0,394.0,321.0
Female,Once or twice a week,2062.0,205.0,297.0,887.0,36.0,645.0,303.0,159.0,246.0,916.0,163.0,140.0,78.0,593.0,203.0,155.0,192.0,195.0,140.0,897.0,36.0,329.0,97.0,96.0,15.0,411.0,3547.0,483.0,540.0,573.0,67.0,111.0,282.0,166.0,119.0,339.0,216.0,246.0,1361.0,273.0,381.0,220.0,228.0
Male,Almost every day,1330.0,91.0,94.0,275.0,15.0,62.0,130.0,82.0,107.0,669.0,52.0,68.0,22.0,216.0,41.0,60.0,48.0,52.0,87.0,597.0,15.0,273.0,23.0,65.0,7.0,67.0,1702.0,171.0,168.0,202.0,41.0,68.0,158.0,122.0,85.0,108.0,110.0,198.0,651.0,150.0,181.0,130.0,156.0
Male,Every day,634.0,44.0,80.0,131.0,17.0,39.0,87.0,50.0,80.0,371.0,24.0,37.0,20.0,176.0,26.0,47.0,25.0,36.0,74.0,437.0,12.0,311.0,10.0,37.0,4.0,40.0,906.0,51.0,97.0,79.0,24.0,58.0,79.0,112.0,76.0,57.0,68.0,105.0,328.0,108.0,103.0,119.0,111.0
Male,Never or hardly ever,1434.0,1512.0,2560.0,1051.0,2341.0,1650.0,1043.0,1759.0,1608.0,550.0,1585.0,3179.0,1561.0,944.0,1320.0,1511.0,947.0,1794.0,1221.0,9679.0,2940.0,1404.0,2223.0,1503.0,70.0,1621.0,5956.0,810.0,702.0,588.0,617.0,1492.0,1665.0,1733.0,1611.0,1389.0,1443.0,1650.0,7041.0,1026.0,3669.0,1460.0,1196.0
Male,Once or twice a month,1310.0,375.0,665.0,920.0,83.0,536.0,348.0,349.0,402.0,569.0,402.0,610.0,284.0,561.0,667.0,307.0,356.0,301.0,305.0,2059.0,83.0,550.0,265.0,304.0,43.0,500.0,3436.0,534.0,544.0,708.0,121.0,323.0,483.0,318.0,233.0,729.0,445.0,580.0,1986.0,479.0,946.0,398.0,299.0
Male,Once or twice a week,2220.0,264.0,381.0,804.0,64.0,610.0,261.0,220.0,291.0,916.0,212.0,270.0,110.0,526.0,287.0,226.0,179.0,181.0,206.0,1540.0,68.0,439.0,150.0,160.0,26.0,446.0,3136.0,590.0,498.0,645.0,70.0,196.0,351.0,222.0,170.0,457.0,259.0,465.0,1681.0,313.0,480.0,281.0,261.0
