ST04Q01,IC05Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,01,,,429.0,605.0,1874.0,,,,1170.0,1978.0,1476.0,,,1061.0,976.0,974.0,274.0,850.0,1334.0,,,1133.0,1043.0,1094.0,925.0,604.0,,1184.0,974.0,8347.0,1749.0,1980.0,,1590.0,1114.0,37.0,,,1516.0,,,6919.0,,354.0,413.0,328.0,319.0,,1261.0,1236.0,,,1032.0,1083.0,1479.0,545.0,740.0,4005.0,381.0,2104.0,,,1493.0,,,,1364.0,
Female,02,,,1674.0,814.0,979.0,,,,893.0,348.0,627.0,,,543.0,864.0,1048.0,1251.0,908.0,1791.0,,,564.0,635.0,709.0,747.0,701.0,,732.0,653.0,2574.0,337.0,754.0,,367.0,719.0,67.0,,,633.0,,,4276.0,,977.0,840.0,996.0,272.0,,787.0,924.0,,,794.0,646.0,534.0,820.0,955.0,3022.0,867.0,2085.0,,,475.0,,,,509.0,
Female,03,,,1682.0,358.0,526.0,,,,486.0,140.0,445.0,,,232.0,243.0,325.0,820.0,310.0,671.0,,,193.0,256.0,159.0,366.0,145.0,,348.0,177.0,1696.0,568.0,329.0,,224.0,150.0,19.0,,,241.0,,,2338.0,,394.0,462.0,517.0,100.0,,204.0,263.0,,,288.0,304.0,333.0,441.0,392.0,2726.0,454.0,722.0,,,129.0,,,,207.0,
Female,04,,,1570.0,311.0,314.0,,,,416.0,91.0,361.0,,,212.0,200.0,158.0,515.0,139.0,298.0,,,89.0,302.0,70.0,196.0,66.0,,146.0,159.0,1254.0,187.0,219.0,,92.0,89.0,7.0,,,110.0,,,1989.0,,168.0,206.0,214.0,71.0,,74.0,215.0,,,192.0,180.0,234.0,197.0,371.0,1457.0,241.0,346.0,,,117.0,,,,213.0,
Female,05,,,981.0,128.0,153.0,,,,171.0,42.0,111.0,,,90.0,92.0,45.0,285.0,81.0,84.0,,,39.0,178.0,20.0,93.0,47.0,,60.0,84.0,321.0,36.0,66.0,,58.0,56.0,2.0,,,59.0,,,722.0,,82.0,93.0,77.0,51.0,,23.0,82.0,,,149.0,54.0,102.0,92.0,122.0,559.0,136.0,107.0,,,47.0,,,,102.0,
Female,06,,,364.0,45.0,48.0,,,,86.0,13.0,51.0,,,55.0,33.0,24.0,128.0,47.0,44.0,,,11.0,71.0,21.0,50.0,24.0,,25.0,44.0,101.0,11.0,22.0,,5.0,26.0,1.0,,,14.0,,,302.0,,30.0,25.0,27.0,17.0,,10.0,45.0,,,45.0,10.0,27.0,39.0,41.0,196.0,93.0,27.0,,,20.0,,,,49.0,
Female,07,,,112.0,27.0,28.0,,,,83.0,15.0,17.0,,,41.0,47.0,14.0,41.0,38.0,22.0,,,7.0,41.0,5.0,36.0,5.0,,16.0,62.0,89.0,9.0,44.0,,,15.0,,,,8.0,,,251.0,,50.0,17.0,11.0,22.0,,7.0,24.0,,,66.0,21.0,19.0,37.0,21.0,186.0,43.0,29.0,,,22.0,,,,41.0,
Female,97,,3093.0,111.0,25.0,103.0,10175.0,2578.0,10943.0,29.0,1.0,6.0,4807.0,845.0,106.0,1.0,5.0,54.0,15.0,32.0,952.0,2375.0,358.0,3.0,69.0,12.0,32.0,2860.0,5.0,520.0,34.0,27.0,2.0,2931.0,1.0,4.0,,2283.0,2581.0,6.0,2745.0,892.0,65.0,2373.0,59.0,12.0,37.0,1.0,3118.0,16.0,28.0,5305.0,2572.0,7.0,23.0,6.0,27.0,20.0,52.0,27.0,15.0,3736.0,2390.0,7.0,5792.0,6308.0,2453.0,11.0,2648.0
Female,98,,,25.0,19.0,53.0,,,,138.0,1.0,,,,8.0,4.0,5.0,83.0,5.0,32.0,,,12.0,8.0,1.0,24.0,5.0,,5.0,7.0,107.0,,33.0,,,3.0,3.0,,,2.0,,,14.0,,,15.0,26.0,1.0,,2.0,5.0,,,3.0,1.0,,3.0,4.0,11.0,28.0,39.0,,,1.0,,,,7.0,
Female,99,2416.0,20.0,127.0,25.0,209.0,,,,40.0,8.0,17.0,,,112.0,20.0,82.0,326.0,16.0,62.0,,,56.0,39.0,13.0,80.0,110.0,,24.0,145.0,720.0,97.0,166.0,,5.0,12.0,2.0,,,15.0,,,677.0,,31.0,48.0,58.0,8.0,,4.0,31.0,,,38.0,46.0,18.0,30.0,33.0,476.0,108.0,105.0,,,59.0,,,,323.0,
Male,01,,,469.0,626.0,1771.0,,,,1246.0,1887.0,1377.0,,,789.0,976.0,976.0,253.0,772.0,1149.0,,,947.0,762.0,1100.0,711.0,531.0,,1090.0,888.0,7548.0,1954.0,1231.0,,1828.0,971.0,27.0,,,1451.0,,,6029.0,,404.0,465.0,320.0,323.0,,986.0,1003.0,,,980.0,1005.0,1347.0,584.0,698.0,3844.0,309.0,1953.0,,,1434.0,,,,981.0,
Male,02,,,1714.0,866.0,974.0,,,,814.0,337.0,586.0,,,469.0,859.0,978.0,1198.0,842.0,1718.0,,,660.0,582.0,857.0,710.0,712.0,,743.0,579.0,2986.0,418.0,744.0,,447.0,635.0,74.0,,,699.0,,,4009.0,,969.0,832.0,1025.0,277.0,,703.0,904.0,,,652.0,564.0,566.0,820.0,1099.0,2924.0,836.0,2124.0,,,485.0,,,,449.0,
