ST04Q01,IC10Q07,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,227.0,44.0,56.0,91.0,48.0,26.0,73.0,61.0,91.0,209.0,45.0,69.0,16.0,97.0,16.0,57.0,25.0,35.0,79.0,528.0,12.0,181.0,15.0,50.0,9.0,38.0,620.0,126.0,60.0,121.0,22.0,27.0,60.0,94.0,68.0,34.0,92.0,89.0,614.0,85.0,144.0,78.0,103.0
Female,Every day,89.0,21.0,29.0,46.0,30.0,17.0,44.0,28.0,51.0,100.0,5.0,21.0,11.0,47.0,7.0,26.0,8.0,17.0,73.0,234.0,4.0,162.0,7.0,17.0,2.0,18.0,277.0,44.0,28.0,51.0,22.0,16.0,28.0,55.0,46.0,14.0,54.0,34.0,235.0,44.0,67.0,74.0,54.0
Female,Never or hardly ever,4487.0,1526.0,2617.0,2211.0,2205.0,2405.0,1568.0,1674.0,1310.0,1572.0,1570.0,1958.0,1452.0,1750.0,1548.0,1681.0,969.0,1803.0,1375.0,7031.0,2766.0,1976.0,2132.0,1417.0,45.0,1867.0,11341.0,913.0,1422.0,681.0,559.0,1744.0,1980.0,1715.0,1510.0,1976.0,1027.0,1599.0,5627.0,1139.0,2345.0,1534.0,1590.0
Female,Once or twice a month,1213.0,495.0,878.0,693.0,200.0,360.0,295.0,399.0,704.0,818.0,517.0,1781.0,467.0,365.0,375.0,378.0,380.0,473.0,321.0,3953.0,62.0,703.0,122.0,503.0,52.0,393.0,2629.0,547.0,317.0,794.0,165.0,414.0,488.0,448.0,378.0,501.0,633.0,573.0,3345.0,601.0,1961.0,379.0,357.0
Female,Once or twice a week,706.0,190.0,335.0,336.0,146.0,263.0,189.0,271.0,405.0,544.0,219.0,398.0,97.0,229.0,130.0,256.0,142.0,169.0,196.0,2341.0,41.0,361.0,56.0,173.0,24.0,248.0,1635.0,435.0,215.0,494.0,75.0,147.0,216.0,231.0,249.0,187.0,334.0,307.0,2021.0,299.0,840.0,215.0,207.0
Male,Almost every day,321.0,87.0,85.0,126.0,46.0,35.0,96.0,104.0,139.0,293.0,70.0,107.0,27.0,155.0,44.0,76.0,34.0,47.0,102.0,771.0,15.0,301.0,36.0,97.0,11.0,52.0,817.0,153.0,67.0,179.0,39.0,77.0,145.0,133.0,100.0,60.0,126.0,204.0,677.0,119.0,217.0,145.0,124.0
Male,Every day,125.0,45.0,86.0,65.0,35.0,31.0,69.0,76.0,83.0,192.0,19.0,45.0,28.0,156.0,23.0,59.0,24.0,24.0,74.0,473.0,15.0,309.0,15.0,35.0,5.0,39.0,445.0,58.0,34.0,76.0,26.0,50.0,79.0,109.0,75.0,35.0,90.0,106.0,350.0,83.0,150.0,97.0,89.0
Male,Never or hardly ever,4439.0,1470.0,2423.0,2003.0,2109.0,2211.0,1193.0,1506.0,1274.0,1238.0,1525.0,2060.0,1443.0,1389.0,1686.0,1379.0,1023.0,1738.0,1170.0,7232.0,2963.0,1307.0,2404.0,1277.0,62.0,1764.0,9087.0,1050.0,1447.0,651.0,539.0,1453.0,1717.0,1591.0,1412.0,1915.0,1101.0,1440.0,5688.0,1091.0,2560.0,1395.0,1232.0
Male,Once or twice a month,1171.0,440.0,790.0,637.0,191.0,337.0,293.0,406.0,548.0,698.0,447.0,1412.0,368.0,374.0,395.0,346.0,304.0,360.0,326.0,3278.0,67.0,586.0,143.0,429.0,42.0,450.0,2758.0,457.0,280.0,714.0,156.0,330.0,445.0,388.0,314.0,488.0,593.0,710.0,2989.0,463.0,1636.0,431.0,316.0
Male,Once or twice a week,869.0,242.0,399.0,364.0,138.0,283.0,213.0,365.0,442.0,669.0,217.0,531.0,133.0,338.0,189.0,283.0,167.0,194.0,217.0,2536.0,53.0,472.0,76.0,228.0,31.0,362.0,2011.0,431.0,174.0,596.0,116.0,217.0,350.0,291.0,275.0,240.0,411.0,533.0,1978.0,321.0,805.0,311.0,259.0
