ST04Q01,LANGCOMM,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,0,200.0,441.0,2433.0,502.0,155.0,287.0,238.0,505.0,1151.0,101.0,157.0,119.0,977.0,197.0,980.0,484.0,156.0
Female,1,115.0,187.0,386.0,266.0,148.0,123.0,21.0,22.0,232.0,,55.0,183.0,65.0,12.0,424.0,91.0,34.0
Female,2,142.0,176.0,527.0,293.0,248.0,90.0,23.0,37.0,268.0,1.0,44.0,359.0,78.0,15.0,431.0,59.0,42.0
Female,3,46.0,112.0,258.0,62.0,145.0,40.0,19.0,38.0,184.0,,68.0,220.0,122.0,25.0,252.0,69.0,56.0
Female,4,31.0,81.0,180.0,35.0,65.0,25.0,16.0,30.0,130.0,,76.0,157.0,287.0,33.0,158.0,78.0,37.0
Female,5,145.0,167.0,355.0,90.0,25.0,141.0,48.0,54.0,363.0,1.0,91.0,254.0,1050.0,256.0,71.0,348.0,111.0
Male,0,196.0,378.0,2653.0,395.0,112.0,276.0,266.0,546.0,1066.0,161.0,106.0,123.0,826.0,192.0,851.0,525.0,159.0
Male,1,83.0,176.0,353.0,174.0,123.0,97.0,19.0,30.0,231.0,3.0,41.0,171.0,61.0,32.0,350.0,106.0,64.0
Male,2,145.0,141.0,565.0,314.0,212.0,113.0,25.0,40.0,297.0,1.0,37.0,325.0,103.0,24.0,425.0,74.0,50.0
Male,3,81.0,118.0,354.0,86.0,140.0,56.0,26.0,42.0,259.0,,63.0,242.0,134.0,26.0,373.0,71.0,70.0
Male,4,67.0,72.0,224.0,51.0,58.0,45.0,22.0,36.0,183.0,,56.0,149.0,267.0,33.0,154.0,117.0,65.0
Male,5,307.0,240.0,642.0,151.0,25.0,295.0,65.0,71.0,626.0,13.0,145.0,320.0,1221.0,376.0,118.0,643.0,275.0
