ST04Q01,LANGRPPD,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,0,427.0,728.0,3123.0,911.0,532.0,484.0,277.0,559.0,1701.0,104.0,251.0,723.0,1168.0,236.0,1930.0,654.0,251.0
Female,1,61.0,126.0,192.0,120.0,110.0,41.0,15.0,27.0,179.0,,79.0,239.0,127.0,33.0,257.0,103.0,41.0
Female,2,21.0,50.0,101.0,54.0,49.0,15.0,12.0,11.0,102.0,,38.0,83.0,167.0,39.0,95.0,59.0,28.0
Female,3,17.0,52.0,125.0,35.0,31.0,16.0,15.0,15.0,58.0,,48.0,54.0,311.0,30.0,16.0,48.0,31.0
Female,4,125.0,189.0,456.0,66.0,52.0,134.0,36.0,73.0,250.0,1.0,75.0,103.0,830.0,200.0,13.0,244.0,76.0
Male,0,451.0,662.0,3455.0,817.0,481.0,470.0,306.0,608.0,1571.0,157.0,154.0,704.0,998.0,219.0,1981.0,703.0,278.0
Male,1,59.0,110.0,238.0,92.0,70.0,42.0,25.0,29.0,301.0,4.0,77.0,245.0,192.0,72.0,161.0,159.0,108.0
Male,2,42.0,63.0,163.0,57.0,50.0,35.0,19.0,22.0,176.0,,57.0,96.0,284.0,66.0,71.0,115.0,56.0
Male,3,41.0,63.0,165.0,41.0,24.0,50.0,12.0,8.0,129.0,,31.0,65.0,265.0,63.0,14.0,94.0,44.0
Male,4,265.0,209.0,612.0,96.0,33.0,269.0,40.0,86.0,444.0,6.0,121.0,151.0,878.0,256.0,33.0,416.0,184.0
