ST04Q01,ST02Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,1,2302.0,,5220.0,,,10168.0,66.0,1239.0,86.0,1102.0,984.0,1651.0,845.0,1414.0,883.0,935.0,3471.0,2365.0,4363.0,952.0,576.0,62.0,68.0,2161.0,76.0,1739.0,1048.0,1558.0,,9645.0,2292.0,3615.0,2026.0,129.0,2091.0,,304.0,145.0,2563.0,1083.0,892.0,1818.0,2.0,536.0,2131.0,2291.0,818.0,3048.0,2379.0,1051.0,552.0,134.0,2140.0,10.0,2752.0,812.0,888.0,12638.0,2333.0,,728.0,775.0,56.0,5727.0,6096.0,2453.0,869.0,177.0
Female,10,,,,,39.0,,,,,,,,,,,,,,,,,143.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,9.0,,,,,
Female,11,,,,726.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,4845.0,,,21.0,,2.0,,11.0,
Female,12,,,,98.0,108.0,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,81.0,,,,,
Female,13,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,14,,,,,57.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15,,,,,1098.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,16,,,,,92.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,17,,,,,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,19,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,2,40.0,25.0,383.0,31.0,,7.0,200.0,9704.0,3201.0,988.0,928.0,1949.0,,794.0,1156.0,830.0,280.0,41.0,,,38.0,227.0,2267.0,,931.0,,264.0,675.0,5.0,3160.0,10.0,,743.0,1781.0,9.0,,513.0,982.0,41.0,1204.0,,1165.0,993.0,539.0,,,38.0,70.0,7.0,1463.0,334.0,2438.0,398.0,653.0,,16.0,347.0,47.0,37.0,,2638.0,1615.0,712.0,65.0,145.0,,116.0,2282.0
Female,20,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,370.0,,,,,,,,
Female,22,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,
Female,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,,,,,
Female,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,
Female,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
Female,3,73.0,103.0,1041.0,172.0,12.0,,1466.0,,143.0,501.0,955.0,1207.0,,252.0,52.0,221.0,,3.0,7.0,,1526.0,641.0,241.0,,143.0,,872.0,18.0,48.0,1743.0,707.0,,28.0,432.0,,,,398.0,,281.0,,1067.0,1276.0,47.0,,,,,,9.0,3104.0,,24.0,542.0,,140.0,1045.0,3.0,7.0,,370.0,,593.0,,10.0,,41.0,117.0
Female,4,1.0,1.0,298.0,19.0,41.0,,846.0,,82.0,46.0,244.0,,,,115.0,477.0,26.0,,,,193.0,995.0,,,98.0,,217.0,146.0,530.0,194.0,12.0,,134.0,,85.0,,1408.0,40.0,,108.0,,270.0,102.0,558.0,,,6.0,,2.0,147.0,1315.0,,52.0,69.0,,537.0,351.0,2.0,1.0,,,,22.0,,1.0,,15.0,63.0
