ST04Q01,ST62Q12,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,118.0,318.0,579.0,113.0,138.0,1352.0,141.0,689.0,352.0,46.0,202.0,537.0,34.0,292.0,148.0,301.0,353.0,67.0,356.0,50.0,102.0,64.0,132.0,87.0,77.0,117.0,329.0,210.0,245.0,786.0,154.0,199.0,133.0,211.0,31.0,5.0,59.0,240.0,119.0,194.0,34.0,1563.0,214.0,132.0,226.0,17.0,248.0,63.0,157.0,513.0,255.0,56.0,158.0,295.0,295.0,332.0,1041.0,87.0,187.0,296.0,140.0,72.0,252.0,516.0,114.0,390.0,429.0
Female,Heard of it often,306.0,393.0,1033.0,64.0,376.0,1529.0,275.0,1575.0,736.0,293.0,571.0,979.0,74.0,333.0,299.0,370.0,326.0,258.0,491.0,102.0,302.0,8.0,339.0,315.0,296.0,165.0,332.0,202.0,276.0,1925.0,342.0,477.0,456.0,291.0,188.0,3.0,185.0,317.0,425.0,662.0,97.0,2983.0,394.0,99.0,332.0,77.0,576.0,255.0,496.0,521.0,449.0,198.0,310.0,544.0,333.0,256.0,1661.0,39.0,340.0,917.0,308.0,529.0,715.0,950.0,305.0,430.0,418.0
Female,Heard of it once or twice,65.0,305.0,351.0,241.0,81.0,1131.0,110.0,282.0,175.0,15.0,61.0,336.0,27.0,245.0,97.0,189.0,394.0,21.0,272.0,17.0,58.0,140.0,115.0,17.0,28.0,82.0,421.0,292.0,120.0,421.0,71.0,174.0,71.0,113.0,21.0,6.0,36.0,183.0,44.0,144.0,14.0,1080.0,154.0,181.0,144.0,4.0,191.0,25.0,72.0,439.0,187.0,25.0,59.0,133.0,155.0,377.0,533.0,192.0,232.0,223.0,113.0,28.0,206.0,381.0,81.0,181.0,250.0
Female,"Know it well,  understand the concept",854.0,659.0,2283.0,53.0,1887.0,1172.0,1011.0,4317.0,941.0,1393.0,1225.0,897.0,408.0,501.0,980.0,755.0,471.0,1215.0,1417.0,420.0,982.0,26.0,1050.0,975.0,1231.0,475.0,109.0,249.0,920.0,6276.0,1333.0,1299.0,1240.0,845.0,1164.0,5.0,1207.0,508.0,1134.0,700.0,434.0,5323.0,635.0,112.0,558.0,471.0,748.0,1249.0,1072.0,1397.0,597.0,1430.0,950.0,737.0,493.0,221.0,4588.0,38.0,1108.0,929.0,762.0,887.0,2336.0,1777.0,1073.0,612.0,459.0
Female,Never heard of it,43.0,243.0,312.0,1055.0,229.0,929.0,113.0,205.0,89.0,17.0,34.0,126.0,10.0,156.0,81.0,139.0,859.0,15.0,308.0,16.0,53.0,1136.0,79.0,6.0,19.0,291.0,673.0,722.0,177.0,590.0,120.0,168.0,49.0,73.0,31.0,72.0,26.0,458.0,18.0,84.0,7.0,442.0,101.0,824.0,144.0,5.0,85.0,12.0,36.0,432.0,164.0,39.0,27.0,112.0,154.0,565.0,382.0,1163.0,1716.0,106.0,134.0,27.0,201.0,466.0,28.0,98.0,167.0
Male,Heard of it a few times,119.0,292.0,661.0,183.0,200.0,1257.0,225.0,807.0,406.0,80.0,242.0,516.0,30.0,257.0,214.0,304.0,398.0,121.0,424.0,65.0,113.0,105.0,218.0,151.0,114.0,137.0,286.0,247.0,194.0,1041.0,173.0,268.0,168.0,235.0,80.0,10.0,140.0,267.0,179.0,293.0,38.0,1639.0,236.0,172.0,225.0,30.0,297.0,139.0,219.0,531.0,312.0,87.0,195.0,291.0,316.0,398.0,1134.0,191.0,287.0,279.0,155.0,152.0,422.0,570.0,181.0,317.0,384.0
Male,Heard of it often,308.0,329.0,1067.0,90.0,372.0,1206.0,330.0,1545.0,616.0,298.0,524.0,811.0,73.0,278.0,308.0,385.0,395.0,363.0,565.0,118.0,235.0,46.0,303.0,304.0,293.0,192.0,286.0,251.0,248.0,1997.0,396.0,412.0,494.0,301.0,221.0,5.0,251.0,261.0,382.0,506.0,92.0,2784.0,319.0,137.0,335.0,94.0,536.0,241.0,495.0,526.0,418.0,265.0,302.0,502.0,346.0,306.0,1596.0,120.0,376.0,615.0,219.0,519.0,716.0,923.0,299.0,337.0,369.0
Male,Heard of it once or twice,61.0,269.0,421.0,257.0,110.0,1021.0,174.0,348.0,157.0,26.0,98.0,339.0,16.0,161.0,112.0,147.0,358.0,32.0,300.0,34.0,62.0,175.0,126.0,42.0,46.0,98.0,371.0,223.0,102.0,619.0,88.0,266.0,139.0,134.0,56.0,18.0,79.0,204.0,48.0,180.0,18.0,1168.0,188.0,183.0,130.0,10.0,242.0,57.0,95.0,513.0,241.0,40.0,88.0,153.0,189.0,396.0,533.0,246.0,294.0,245.0,117.0,92.0,377.0,339.0,92.0,181.0,191.0
Male,"Know it well,  understand the concept",837.0,514.0,2226.0,160.0,1810.0,1052.0,742.0,3814.0,877.0,1240.0,992.0,758.0,405.0,427.0,877.0,722.0,586.0,1005.0,1211.0,376.0,921.0,93.0,854.0,1131.0,989.0,396.0,103.0,418.0,650.0,5847.0,1314.0,782.0,955.0,1001.0,1001.0,13.0,933.0,569.0,1123.0,499.0,362.0,4331.0,566.0,169.0,536.0,432.0,623.0,966.0,952.0,1047.0,498.0,1220.0,831.0,739.0,499.0,333.0,4509.0,103.0,1271.0,641.0,557.0,781.0,1696.0,1855.0,942.0,507.0,390.0
Male,Never heard of it,47.0,257.0,328.0,840.0,238.0,910.0,178.0,278.0,79.0,26.0,48.0,155.0,15.0,168.0,153.0,142.0,598.0,31.0,338.0,13.0,69.0,914.0,121.0,13.0,31.0,241.0,696.0,464.0,197.0,691.0,150.0,309.0,87.0,123.0,38.0,60.0,75.0,389.0,39.0,121.0,12.0,554.0,139.0,766.0,142.0,14.0,95.0,32.0,54.0,494.0,185.0,47.0,57.0,156.0,223.0,574.0,399.0,830.0,1479.0,111.0,134.0,66.0,339.0,406.0,65.0,136.0,206.0
