ST04Q01,BOOKID,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,UH booklet,,,,19.0,71.0,,,,,,,,,99.0,,35.0,24.0,,17.0,,,62.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,16.0,42.0,,,,,,,,,,,
Female,booklet 1,186.0,,549.0,182.0,342.0,,,825.0,,233.0,233.0,,61.0,,218.0,194.0,275.0,204.0,373.0,77.0,196.0,204.0,185.0,175.0,193.0,116.0,217.0,203.0,208.0,1276.0,218.0,,,180.0,167.0,8.0,175.0,202.0,198.0,215.0,75.0,,194.0,178.0,157.0,192.0,63.0,,203.0,208.0,424.0,,220.0,,228.0,181.0,230.0,1025.0,196.0,450.0,306.0,,182.0,,499.0,206.0,,
Female,booklet 10,180.0,226.0,505.0,190.0,280.0,779.0,196.0,888.0,265.0,154.0,225.0,271.0,62.0,177.0,148.0,204.0,305.0,156.0,317.0,75.0,163.0,187.0,222.0,172.0,206.0,140.0,227.0,198.0,306.0,902.0,230.0,282.0,208.0,172.0,163.0,12.0,183.0,209.0,203.0,192.0,67.0,1313.0,190.0,163.0,157.0,159.0,62.0,245.0,151.0,206.0,412.0,200.0,167.0,184.0,218.0,144.0,184.0,931.0,170.0,409.0,304.0,174.0,177.0,445.0,480.0,149.0,213.0,208.0
Female,booklet 11,181.0,236.0,516.0,166.0,248.0,763.0,186.0,812.0,286.0,143.0,234.0,269.0,54.0,178.0,139.0,204.0,273.0,157.0,333.0,67.0,161.0,186.0,185.0,170.0,202.0,147.0,230.0,199.0,137.0,939.0,241.0,281.0,230.0,190.0,128.0,10.0,174.0,188.0,204.0,231.0,76.0,1341.0,171.0,161.0,147.0,164.0,73.0,229.0,167.0,215.0,395.0,195.0,151.0,169.0,199.0,143.0,193.0,921.0,197.0,423.0,284.0,189.0,189.0,433.0,500.0,144.0,229.0,189.0
Female,booklet 12,175.0,229.0,520.0,182.0,287.0,818.0,190.0,842.0,254.0,152.0,251.0,316.0,71.0,187.0,144.0,195.0,280.0,144.0,315.0,58.0,162.0,185.0,207.0,159.0,196.0,139.0,219.0,196.0,140.0,890.0,218.0,278.0,222.0,186.0,137.0,13.0,181.0,200.0,198.0,210.0,59.0,1325.0,181.0,150.0,159.0,178.0,64.0,248.0,127.0,224.0,407.0,192.0,168.0,179.0,231.0,139.0,202.0,930.0,170.0,455.0,288.0,183.0,180.0,437.0,488.0,123.0,218.0,196.0
Female,booklet 13,183.0,234.0,473.0,176.0,291.0,809.0,205.0,864.0,263.0,152.0,241.0,279.0,70.0,196.0,133.0,194.0,308.0,150.0,349.0,82.0,182.0,178.0,193.0,170.0,202.0,131.0,244.0,198.0,137.0,944.0,235.0,268.0,227.0,185.0,135.0,8.0,178.0,194.0,201.0,220.0,71.0,1327.0,168.0,165.0,171.0,167.0,68.0,240.0,138.0,217.0,414.0,198.0,165.0,185.0,194.0,146.0,185.0,944.0,193.0,434.0,283.0,192.0,181.0,439.0,484.0,160.0,231.0,248.0
Female,booklet 2,185.0,,553.0,182.0,330.0,,,862.0,,237.0,226.0,,76.0,,205.0,195.0,286.0,199.0,376.0,69.0,193.0,183.0,206.0,166.0,181.0,123.0,212.0,186.0,185.0,1289.0,229.0,,,179.0,176.0,15.0,170.0,198.0,189.0,220.0,73.0,,185.0,158.0,164.0,180.0,59.0,,200.0,204.0,410.0,,219.0,,186.0,187.0,206.0,1003.0,197.0,450.0,301.0,,177.0,,465.0,217.0,,
Female,booklet 21,,251.0,,,,782.0,212.0,,290.0,,,401.0,,192.0,,,,,,,,,,,,,,,,,,287.0,215.0,,,,,,,,,1365.0,,,,,,243.0,,,,201.0,,170.0,,,,,,,,171.0,,450.0,,,222.0,198.0
Female,booklet 22,,237.0,,,,815.0,193.0,,275.0,,,423.0,,158.0,,,,,,,,,,,,,,,,,,271.0,252.0,,,,,,,,,1376.0,,,,,,245.0,,,,198.0,,220.0,,,,,,,,195.0,,463.0,,,218.0,199.0
Female,booklet 23,,245.0,,,,754.0,212.0,,277.0,,,396.0,,192.0,,,,,,,,,,,,,,,,,,281.0,214.0,,,,,,,,,1348.0,,,,,,244.0,,,,196.0,,180.0,,,,,,,,195.0,,443.0,,,206.0,210.0
