ST04Q01,CLCUSE1,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,A CAS calculator,4.0,23.0,321.0,43.0,43.0,77.0,15.0,133.0,15.0,42.0,15.0,34.0,1.0,3.0,23.0,14.0,16.0,5.0,47.0,4.0,60.0,86.0,18.0,2.0,16.0,39.0,17.0,28.0,89.0,89.0,20.0,14.0,38.0,4.0,15.0,3.0,12.0,87.0,44.0,23.0,3.0,65.0,12.0,8.0,26.0,14.0,3.0,19.0,8.0,36.0,86.0,29.0,15.0,7.0,12.0,11.0,15.0,104.0,3.0,64.0,31.0,33.0,24.0,133.0,32.0,7.0,106.0,77.0
Female,A Graphics calculator,5.0,42.0,418.0,193.0,913.0,105.0,8.0,870.0,31.0,11.0,22.0,51.0,4.0,18.0,20.0,10.0,32.0,12.0,42.0,6.0,390.0,187.0,23.0,10.0,28.0,43.0,13.0,6.0,16.0,68.0,14.0,22.0,65.0,7.0,6.0,,23.0,56.0,36.0,19.0,34.0,260.0,8.0,263.0,321.0,10.0,,47.0,10.0,831.0,91.0,27.0,6.0,7.0,74.0,18.0,10.0,95.0,14.0,86.0,9.0,17.0,93.0,203.0,36.0,29.0,18.0,14.0
Female,A Scientific calculator,39.0,1269.0,3138.0,1041.0,1458.0,423.0,149.0,5746.0,84.0,1837.0,146.0,2088.0,13.0,1362.0,1103.0,1039.0,1792.0,1651.0,2701.0,18.0,857.0,1401.0,171.0,1194.0,1211.0,1051.0,142.0,1884.0,1160.0,4393.0,137.0,727.0,271.0,195.0,348.0,75.0,457.0,1224.0,1118.0,1597.0,65.0,10208.0,138.0,524.0,823.0,162.0,64.0,220.0,229.0,1115.0,369.0,168.0,167.0,190.0,1646.0,918.0,1276.0,6906.0,114.0,2927.0,439.0,506.0,297.0,1603.0,3744.0,105.0,1261.0,1497.0
Female,A Simple calculator,399.0,666.0,1814.0,620.0,1081.0,6520.0,1205.0,3054.0,2754.0,544.0,2163.0,917.0,734.0,439.0,978.0,1131.0,1139.0,462.0,1176.0,864.0,645.0,417.0,1645.0,652.0,692.0,429.0,417.0,367.0,1019.0,7951.0,2035.0,909.0,1989.0,1524.0,1440.0,47.0,1354.0,770.0,798.0,399.0,718.0,2925.0,926.0,954.0,606.0,1704.0,552.0,2014.0,1651.0,416.0,2529.0,1563.0,1661.0,1178.0,771.0,895.0,852.0,2411.0,1765.0,1838.0,1398.0,459.0,1031.0,2260.0,1525.0,2100.0,668.0,789.0
Female,No calculator,238.0,395.0,580.0,137.0,326.0,995.0,673.0,489.0,250.0,165.0,602.0,763.0,27.0,315.0,251.0,390.0,460.0,156.0,271.0,25.0,235.0,149.0,461.0,120.0,300.0,117.0,859.0,95.0,254.0,1582.0,699.0,1079.0,271.0,447.0,255.0,6.0,311.0,186.0,412.0,129.0,27.0,813.0,967.0,146.0,160.0,260.0,129.0,315.0,218.0,116.0,317.0,727.0,435.0,618.0,67.0,233.0,355.0,1375.0,274.0,383.0,761.0,587.0,400.0,456.0,418.0,76.0,410.0,52.0
Male,A CAS calculator,3.0,22.0,325.0,44.0,59.0,82.0,27.0,180.0,19.0,44.0,21.0,45.0,3.0,11.0,28.0,9.0,26.0,15.0,48.0,3.0,53.0,73.0,29.0,20.0,30.0,56.0,29.0,35.0,51.0,193.0,25.0,35.0,38.0,10.0,23.0,,23.0,101.0,42.0,19.0,2.0,80.0,19.0,11.0,20.0,23.0,7.0,24.0,13.0,54.0,76.0,41.0,26.0,21.0,22.0,46.0,42.0,130.0,9.0,76.0,28.0,33.0,36.0,111.0,55.0,5.0,100.0,106.0
Male,A Graphics calculator,7.0,28.0,387.0,116.0,773.0,111.0,25.0,852.0,20.0,13.0,14.0,40.0,10.0,24.0,29.0,20.0,58.0,18.0,39.0,4.0,348.0,186.0,40.0,16.0,42.0,45.0,24.0,10.0,23.0,132.0,25.0,32.0,76.0,3.0,17.0,2.0,24.0,74.0,36.0,26.0,28.0,288.0,19.0,234.0,303.0,18.0,5.0,56.0,14.0,722.0,78.0,37.0,13.0,9.0,50.0,25.0,34.0,109.0,13.0,87.0,11.0,12.0,113.0,202.0,39.0,34.0,29.0,24.0
Male,A Scientific calculator,40.0,1020.0,2860.0,1023.0,1325.0,409.0,196.0,4486.0,84.0,1528.0,200.0,1513.0,17.0,1096.0,917.0,823.0,1371.0,1248.0,2131.0,19.0,612.0,1260.0,150.0,1244.0,877.0,914.0,95.0,1584.0,703.0,4626.0,406.0,346.0,250.0,335.0,320.0,83.0,270.0,1125.0,1012.0,1146.0,41.0,8752.0,113.0,573.0,671.0,197.0,80.0,211.0,171.0,965.0,270.0,167.0,158.0,157.0,1427.0,795.0,1183.0,5846.0,97.0,2777.0,182.0,317.0,294.0,1303.0,3422.0,99.0,830.0,1219.0
Male,A Simple calculator,348.0,575.0,1856.0,616.0,1083.0,5235.0,943.0,3027.0,2471.0,568.0,1672.0,883.0,693.0,383.0,875.0,1051.0,1216.0,571.0,1394.0,798.0,604.0,512.0,1281.0,701.0,622.0,390.0,370.0,400.0,813.0,6653.0,1727.0,547.0,1710.0,1452.0,1229.0,45.0,1093.0,723.0,662.0,347.0,636.0,2766.0,627.0,920.0,632.0,1506.0,456.0,1801.0,1317.0,465.0,1636.0,1400.0,1395.0,874.0,788.0,885.0,821.0,2639.0,1448.0,1652.0,861.0,345.0,993.0,1596.0,1444.0,2011.0,642.0,646.0
Male,No calculator,276.0,406.0,918.0,187.0,525.0,1082.0,873.0,1076.0,337.0,314.0,737.0,960.0,42.0,329.0,427.0,569.0,606.0,347.0,594.0,46.0,339.0,254.0,690.0,223.0,398.0,238.0,895.0,196.0,297.0,2547.0,956.0,1276.0,378.0,590.0,355.0,17.0,650.0,287.0,670.0,251.0,58.0,1101.0,1109.0,212.0,223.0,439.0,203.0,284.0,370.0,237.0,334.0,805.0,647.0,683.0,188.0,463.0,658.0,2014.0,423.0,682.0,674.0,564.0,462.0,839.0,661.0,159.0,477.0,78.0
