ST04Q01,FISCED,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,ISCED 1,45.0,520.0,379.0,21.0,114.0,2230.0,27.0,145.0,155.0,145.0,132.0,751.0,12.0,471.0,14.0,9.0,94.0,7.0,101.0,22.0,28.0,9.0,223.0,335.0,10.0,,821.0,142.0,51.0,489.0,,184.0,7.0,30.0,2.0,2.0,12.0,236.0,477.0,206.0,21.0,3188.0,12.0,97.0,51.0,12.0,1.0,368.0,,807.0,256.0,73.0,2.0,15.0,290.0,10.0,17.0,1322.0,39.0,145.0,1228.0,438.0,832.0,169.0,56.0,89.0,705.0,494.0
Female,ISCED 2,517.0,443.0,1145.0,112.0,345.0,1566.0,177.0,805.0,568.0,659.0,535.0,643.0,47.0,196.0,235.0,49.0,513.0,114.0,407.0,86.0,378.0,499.0,354.0,448.0,306.0,272.0,524.0,410.0,199.0,4294.0,157.0,523.0,69.0,93.0,102.0,19.0,50.0,271.0,809.0,333.0,51.0,4294.0,136.0,138.0,220.0,131.0,31.0,267.0,121.0,650.0,434.0,156.0,74.0,213.0,154.0,85.0,248.0,2586.0,249.0,832.0,477.0,209.0,546.0,410.0,629.0,209.0,702.0,953.0
Female,"ISCED 3A, ISCED 4",942.0,567.0,2264.0,310.0,1160.0,2483.0,1003.0,3848.0,1085.0,690.0,574.0,700.0,327.0,565.0,968.0,1081.0,395.0,1071.0,413.0,426.0,322.0,388.0,800.0,364.0,708.0,431.0,734.0,812.0,586.0,5317.0,831.0,947.0,533.0,721.0,1021.0,11.0,1076.0,588.0,267.0,1415.0,323.0,1904.0,210.0,780.0,530.0,731.0,81.0,1207.0,863.0,369.0,749.0,1101.0,272.0,59.0,1079.0,1068.0,447.0,2677.0,505.0,396.0,879.0,947.0,292.0,1451.0,984.0,958.0,318.0,593.0
Female,"ISCED 3B, C",110.0,,159.0,834.0,303.0,157.0,374.0,,,110.0,438.0,,,26.0,374.0,682.0,944.0,126.0,549.0,,480.0,75.0,132.0,483.0,659.0,175.0,114.0,58.0,465.0,909.0,380.0,289.0,12.0,265.0,120.0,35.0,66.0,143.0,374.0,22.0,,313.0,885.0,,354.0,187.0,7.0,,864.0,133.0,400.0,162.0,30.0,1018.0,,503.0,1176.0,291.0,248.0,1337.0,132.0,26.0,40.0,73.0,1450.0,,69.0,48.0
Female,"ISCED 5A, 6",398.0,616.0,1816.0,396.0,1200.0,1157.0,532.0,3467.0,954.0,589.0,504.0,755.0,321.0,561.0,412.0,604.0,558.0,490.0,1611.0,235.0,487.0,474.0,681.0,191.0,547.0,569.0,292.0,592.0,779.0,2874.0,1130.0,949.0,888.0,959.0,379.0,37.0,540.0,624.0,225.0,332.0,355.0,2954.0,501.0,379.0,415.0,404.0,239.0,566.0,390.0,380.0,2643.0,606.0,818.0,371.0,643.0,372.0,377.0,3096.0,701.0,1157.0,749.0,260.0,263.0,2747.0,1479.0,725.0,264.0,206.0
Female,ISCED 5B,142.0,336.0,570.0,521.0,655.0,235.0,296.0,1974.0,295.0,379.0,837.0,888.0,59.0,194.0,401.0,112.0,894.0,381.0,943.0,96.0,405.0,335.0,310.0,98.0,112.0,167.0,119.0,360.0,411.0,696.0,204.0,583.0,1187.0,174.0,334.0,27.0,367.0,306.0,148.0,249.0,77.0,1972.0,523.0,582.0,247.0,608.0,391.0,296.0,,90.0,503.0,407.0,1136.0,597.0,439.0,73.0,254.0,1676.0,405.0,1328.0,,186.0,227.0,577.0,878.0,230.0,313.0,
Female,None,262.0,220.0,31.0,13.0,60.0,1538.0,14.0,61.0,142.0,50.0,12.0,616.0,3.0,208.0,2.0,3.0,40.0,2.0,88.0,6.0,29.0,38.0,18.0,107.0,5.0,,213.0,13.0,48.0,79.0,,75.0,3.0,10.0,1.0,1.0,4.0,120.0,202.0,147.0,16.0,1786.0,3.0,40.0,20.0,5.0,1.0,277.0,4.0,240.0,187.0,10.0,,4.0,72.0,2.0,4.0,353.0,35.0,60.0,149.0,234.0,122.0,233.0,16.0,54.0,156.0,295.0
Male,ISCED 1,48.0,413.0,388.0,19.0,100.0,1778.0,33.0,139.0,100.0,143.0,130.0,594.0,11.0,353.0,13.0,9.0,63.0,6.0,109.0,21.0,12.0,4.0,172.0,359.0,11.0,,705.0,99.0,25.0,452.0,,160.0,2.0,40.0,11.0,3.0,6.0,177.0,569.0,171.0,11.0,2841.0,15.0,74.0,51.0,13.0,,344.0,,743.0,199.0,65.0,3.0,14.0,261.0,8.0,18.0,1140.0,38.0,138.0,868.0,311.0,782.0,104.0,57.0,84.0,506.0,407.0
Male,ISCED 2,460.0,440.0,1139.0,118.0,250.0,1381.0,168.0,697.0,474.0,653.0,509.0,608.0,46.0,159.0,194.0,53.0,470.0,127.0,323.0,79.0,316.0,541.0,332.0,482.0,203.0,221.0,510.0,368.0,113.0,4268.0,160.0,414.0,91.0,111.0,89.0,25.0,59.0,259.0,825.0,306.0,51.0,4090.0,138.0,167.0,151.0,146.0,48.0,291.0,109.0,656.0,311.0,128.0,64.0,162.0,152.0,95.0,245.0,2554.0,230.0,786.0,380.0,142.0,553.0,385.0,562.0,201.0,612.0,801.0
Male,"ISCED 3A, ISCED 4",922.0,584.0,2472.0,325.0,1216.0,2322.0,1077.0,3635.0,1057.0,650.0,572.0,642.0,313.0,479.0,1031.0,1078.0,389.0,988.0,437.0,383.0,331.0,354.0,774.0,400.0,634.0,379.0,617.0,859.0,478.0,5319.0,835.0,668.0,477.0,731.0,938.0,7.0,1074.0,579.0,281.0,1143.0,303.0,1781.0,166.0,786.0,555.0,718.0,97.0,1046.0,832.0,370.0,652.0,1022.0,285.0,67.0,1093.0,1153.0,527.0,2703.0,469.0,470.0,708.0,709.0,284.0,1272.0,1046.0,942.0,291.0,576.0
