ST04Q01,MISCED,Argentina,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,ISCED 1,39.0,490.0,249.0,34.0,114.0,2300.0,24.0,91.0,151.0,154.0,130.0,802.0,14.0,548.0,16.0,9.0,129.0,6.0,58.0,14.0,34.0,8.0,175.0,310.0,7.0,,977.0,81.0,28.0,331.0,,165.0,4.0,34.0,2.0,2.0,6.0,261.0,490.0,239.0,13.0,3377.0,24.0,81.0,26.0,10.0,,453.0,,673.0,276.0,85.0,,18.0,298.0,9.0,9.0,1024.0,30.0,151.0,1487.0,493.0,1172.0,309.0,26.0,88.0,706.0,580.0
Female,ISCED 2,645.0,462.0,1201.0,123.0,276.0,1619.0,202.0,489.0,569.0,750.0,462.0,793.0,52.0,203.0,313.0,57.0,448.0,138.0,270.0,63.0,326.0,631.0,293.0,456.0,366.0,302.0,534.0,307.0,136.0,3941.0,98.0,541.0,60.0,98.0,112.0,23.0,67.0,332.0,943.0,341.0,46.0,4825.0,232.0,152.0,225.0,109.0,20.0,288.0,161.0,676.0,427.0,214.0,71.0,259.0,137.0,101.0,308.0,2535.0,163.0,946.0,468.0,174.0,361.0,617.0,360.0,182.0,725.0,985.0
Female,"ISCED 3A, ISCED 4",983.0,536.0,2120.0,512.0,1118.0,2975.0,1014.0,3378.0,1259.0,619.0,603.0,775.0,294.0,632.0,1039.0,1246.0,418.0,997.0,428.0,368.0,421.0,564.0,973.0,395.0,747.0,365.0,623.0,998.0,742.0,5553.0,1031.0,1112.0,513.0,1013.0,904.0,17.0,803.0,595.0,345.0,1482.0,276.0,1840.0,250.0,886.0,327.0,679.0,81.0,1181.0,945.0,481.0,1072.0,1088.0,285.0,94.0,1331.0,1132.0,406.0,3282.0,426.0,736.0,780.0,745.0,198.0,1630.0,1163.0,880.0,482.0,511.0
Female,"ISCED 3B, C",71.0,,187.0,920.0,305.0,173.0,310.0,,,112.0,491.0,,,23.0,267.0,605.0,631.0,63.0,400.0,,415.0,95.0,57.0,551.0,428.0,78.0,96.0,41.0,398.0,1099.0,342.0,208.0,16.0,257.0,69.0,47.0,56.0,176.0,214.0,23.0,,349.0,836.0,,482.0,137.0,8.0,,657.0,153.0,347.0,95.0,21.0,952.0,,458.0,1079.0,223.0,208.0,1506.0,74.0,20.0,25.0,78.0,1444.0,,41.0,33.0
Female,"ISCED 5A, 6",388.0,734.0,2011.0,275.0,1156.0,1454.0,754.0,3894.0,851.0,496.0,372.0,726.0,361.0,547.0,405.0,573.0,398.0,769.0,1969.0,299.0,429.0,377.0,727.0,120.0,755.0,809.0,230.0,676.0,968.0,3043.0,649.0,660.0,1068.0,714.0,684.0,19.0,857.0,529.0,187.0,256.0,387.0,2592.0,435.0,230.0,560.0,379.0,327.0,353.0,560.0,477.0,2127.0,584.0,1056.0,372.0,482.0,359.0,469.0,3542.0,885.0,879.0,710.0,142.0,99.0,2145.0,1512.0,813.0,331.0,140.0
Female,ISCED 5B,58.0,451.0,906.0,388.0,952.0,209.0,172.0,2687.0,386.0,391.0,986.0,1008.0,101.0,223.0,405.0,146.0,1504.0,384.0,1045.0,168.0,590.0,198.0,303.0,97.0,128.0,95.0,87.0,396.0,303.0,839.0,788.0,702.0,1260.0,161.0,368.0,28.0,438.0,360.0,166.0,214.0,137.0,2112.0,531.0,677.0,292.0,851.0,419.0,180.0,,100.0,541.0,468.0,1150.0,604.0,382.0,132.0,351.0,1462.0,527.0,1079.0,,169.0,121.0,478.0,1363.0,383.0,293.0,
Female,None,232.0,206.0,40.0,22.0,78.0,1132.0,16.0,50.0,144.0,107.0,22.0,620.0,3.0,242.0,7.0,2.0,55.0,,97.0,14.0,31.0,54.0,13.0,135.0,8.0,,293.0,4.0,62.0,79.0,,147.0,4.0,8.0,2.0,,2.0,141.0,207.0,173.0,15.0,2111.0,3.0,34.0,15.0,18.0,,593.0,1.0,207.0,417.0,14.0,,6.0,102.0,5.0,3.0,285.0,27.0,90.0,181.0,538.0,315.0,423.0,23.0,50.0,106.0,381.0
Male,ISCED 1,45.0,402.0,198.0,25.0,85.0,1701.0,35.0,69.0,109.0,187.0,127.0,581.0,9.0,382.0,10.0,11.0,78.0,1.0,53.0,13.0,20.0,4.0,122.0,371.0,11.0,,807.0,64.0,21.0,338.0,,134.0,4.0,27.0,5.0,1.0,2.0,184.0,514.0,200.0,13.0,3092.0,17.0,59.0,23.0,12.0,,416.0,,592.0,202.0,83.0,5.0,13.0,280.0,8.0,5.0,923.0,17.0,135.0,1003.0,366.0,1042.0,210.0,32.0,74.0,545.0,495.0
Male,ISCED 2,573.0,363.0,1084.0,146.0,228.0,1459.0,210.0,337.0,510.0,730.0,386.0,755.0,30.0,168.0,282.0,63.0,388.0,81.0,171.0,55.0,235.0,665.0,289.0,436.0,285.0,238.0,505.0,237.0,81.0,3871.0,101.0,416.0,66.0,119.0,68.0,24.0,85.0,286.0,960.0,306.0,37.0,4690.0,201.0,146.0,162.0,102.0,20.0,268.0,130.0,664.0,319.0,175.0,58.0,197.0,151.0,111.0,268.0,2464.0,121.0,873.0,355.0,160.0,436.0,515.0,297.0,166.0,639.0,824.0
Male,"ISCED 3A, ISCED 4",1023.0,568.0,2452.0,584.0,1128.0,2719.0,1004.0,3361.0,1190.0,575.0,702.0,801.0,267.0,545.0,1072.0,1234.0,446.0,998.0,610.0,365.0,476.0,517.0,947.0,463.0,694.0,402.0,637.0,971.0,675.0,5255.0,1118.0,880.0,488.0,1133.0,855.0,17.0,765.0,585.0,343.0,1209.0,257.0,1844.0,257.0,933.0,355.0,625.0,92.0,1155.0,970.0,467.0,1052.0,1025.0,304.0,104.0,1272.0,1253.0,566.0,3284.0,432.0,805.0,655.0,564.0,219.0,1550.0,1166.0,882.0,435.0,474.0
Male,"ISCED 3B, C",82.0,,169.0,881.0,289.0,197.0,286.0,,,84.0,393.0,,,15.0,205.0,523.0,465.0,57.0,388.0,,340.0,82.0,71.0,630.0,359.0,84.0,93.0,57.0,199.0,1027.0,339.0,127.0,18.0,204.0,74.0,56.0,73.0,185.0,305.0,20.0,,319.0,678.0,,507.0,121.0,5.0,,505.0,164.0,303.0,114.0,21.0,850.0,,404.0,1237.0,261.0,211.0,1358.0,74.0,20.0,26.0,113.0,1505.0,,28.0,21.0
Male,"ISCED 5A, 6",372.0,749.0,2090.0,273.0,1197.0,1641.0,841.0,4053.0,918.0,504.0,369.0,826.0,415.0,598.0,482.0,547.0,493.0,731.0,2007.0,298.0,423.0,375.0,733.0,230.0,733.0,816.0,289.0,669.0,897.0,3668.0,864.0,921.0,1176.0,997.0,651.0,20.0,909.0,583.0,191.0,307.0,365.0,2711.0,597.0,244.0,538.0,506.0,380.0,349.0,514.0,541.0,2504.0,638.0,1097.0,482.0,493.0,443.0,556.0,3557.0,879.0,920.0,594.0,207.0,127.0,2221.0,1550.0,898.0,377.0,172.0
Male,ISCED 5B,61.0,350.0,837.0,325.0,979.0,207.0,187.0,2253.0,318.0,359.0,872.0,872.0,96.0,249.0,444.0,213.0,1487.0,427.0,901.0,167.0,511.0,175.0,311.0,95.0,113.0,110.0,114.0,394.0,183.0,1116.0,676.0,610.0,1089.0,130.0,394.0,30.0,414.0,414.0,160.0,244.0,126.0,1750.0,542.0,769.0,260.0,835.0,383.0,158.0,,92.0,624.0,429.0,1073.0,603.0,443.0,150.0,447.0,1425.0,463.0,1187.0,,136.0,154.0,543.0,1209.0,375.0,263.0,
Male,None,171.0,155.0,48.0,17.0,52.0,787.0,28.0,54.0,135.0,89.0,24.0,354.0,5.0,146.0,4.0,4.0,53.0,2.0,85.0,13.0,17.0,37.0,14.0,120.0,5.0,,271.0,6.0,38.0,97.0,,126.0,7.0,9.0,1.0,1.0,5.0,146.0,188.0,136.0,9.0,1556.0,4.0,45.0,13.0,21.0,,500.0,4.0,216.0,312.0,9.0,1.0,5.0,111.0,10.0,4.0,248.0,25.0,85.0,144.0,418.0,373.0,345.0,19.0,40.0,81.0,305.0
