ST04Q01,ST62Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,145.0,223.0,868.0,199.0,147.0,936.0,113.0,1274.0,160.0,166.0,176.0,385.0,110.0,255.0,49.0,108.0,450.0,77.0,297.0,121.0,162.0,239.0,93.0,35.0,70.0,124.0,339.0,338.0,226.0,453.0,110.0,148.0,145.0,110.0,61.0,11.0,173.0,188.0,65.0,278.0,106.0,1765.0,74.0,222.0,260.0,23.0,203.0,160.0,151.0,580.0,207.0,84.0,83.0,229.0,79.0,27.0,743.0,101.0,341.0,146.0,140.0,129.0,392.0,528.0,318.0,264.0,566.0
Female,Heard of it often,278.0,370.0,537.0,326.0,416.0,1969.0,250.0,1548.0,615.0,268.0,547.0,909.0,134.0,343.0,142.0,231.0,313.0,396.0,691.0,119.0,318.0,238.0,326.0,180.0,337.0,211.0,952.0,360.0,247.0,1871.0,471.0,431.0,490.0,258.0,235.0,8.0,322.0,269.0,199.0,608.0,127.0,3107.0,203.0,299.0,148.0,72.0,532.0,339.0,485.0,429.0,414.0,219.0,164.0,336.0,328.0,204.0,1399.0,71.0,598.0,863.0,269.0,559.0,716.0,292.0,370.0,504.0,338.0
Female,Heard of it once or twice,84.0,236.0,1061.0,128.0,80.0,854.0,119.0,849.0,84.0,54.0,65.0,239.0,82.0,158.0,16.0,22.0,457.0,27.0,267.0,97.0,72.0,174.0,64.0,16.0,34.0,63.0,155.0,271.0,238.0,208.0,40.0,204.0,90.0,24.0,50.0,7.0,93.0,96.0,34.0,256.0,84.0,1253.0,63.0,170.0,349.0,20.0,180.0,75.0,80.0,543.0,174.0,52.0,22.0,211.0,22.0,19.0,246.0,373.0,230.0,199.0,139.0,55.0,366.0,984.0,218.0,143.0,268.0
Female,"Know it well,  understand the concept",832.0,1049.0,422.0,768.0,2004.0,2054.0,1099.0,2500.0,1408.0,1221.0,1275.0,1316.0,153.0,722.0,1385.0,1386.0,503.0,1074.0,1223.0,171.0,917.0,522.0,1197.0,1165.0,1202.0,593.0,403.0,447.0,495.0,7358.0,1367.0,1360.0,1169.0,1137.0,1072.0,59.0,895.0,1052.0,1412.0,456.0,220.0,4922.0,1107.0,344.0,92.0,453.0,891.0,990.0,1093.0,1315.0,761.0,1348.0,1215.0,523.0,995.0,1471.0,5747.0,105.0,2229.0,1223.0,799.0,776.0,1634.0,152.0,517.0,802.0,281.0
Female,Never heard of it,54.0,83.0,1667.0,97.0,71.0,360.0,69.0,913.0,40.0,56.0,37.0,75.0,78.0,66.0,24.0,13.0,668.0,5.0,371.0,95.0,37.0,203.0,40.0,7.0,15.0,141.0,30.0,267.0,520.0,136.0,36.0,191.0,58.0,8.0,16.0,6.0,33.0,105.0,38.0,185.0,53.0,415.0,71.0,317.0,547.0,9.0,61.0,36.0,31.0,458.0,98.0,37.0,40.0,519.0,20.0,32.0,115.0,866.0,200.0,42.0,143.0,24.0,629.0,2130.0,192.0,39.0,263.0
Male,Heard of it a few times,140.0,244.0,1002.0,201.0,191.0,1005.0,171.0,1242.0,183.0,148.0,236.0,371.0,116.0,191.0,147.0,154.0,487.0,132.0,406.0,137.0,137.0,191.0,156.0,92.0,89.0,129.0,389.0,327.0,178.0,744.0,134.0,245.0,230.0,157.0,108.0,5.0,217.0,191.0,114.0,334.0,91.0,1837.0,121.0,223.0,264.0,30.0,246.0,207.0,268.0,502.0,236.0,111.0,140.0,242.0,176.0,140.0,963.0,157.0,358.0,192.0,138.0,217.0,468.0,666.0,331.0,254.0,479.0
Male,Heard of it often,292.0,325.0,612.0,326.0,447.0,1552.0,301.0,1505.0,545.0,262.0,510.0,795.0,111.0,292.0,218.0,312.0,322.0,428.0,705.0,137.0,300.0,224.0,316.0,200.0,336.0,224.0,789.0,358.0,232.0,2219.0,508.0,364.0,492.0,328.0,255.0,21.0,327.0,261.0,218.0,471.0,123.0,2788.0,255.0,297.0,179.0,99.0,484.0,294.0,460.0,435.0,440.0,285.0,226.0,282.0,399.0,347.0,1498.0,106.0,614.0,635.0,195.0,547.0,618.0,355.0,380.0,323.0,321.0
Male,Heard of it once or twice,87.0,223.0,1029.0,94.0,123.0,915.0,203.0,880.0,105.0,76.0,130.0,268.0,81.0,131.0,76.0,54.0,410.0,50.0,308.0,89.0,88.0,150.0,136.0,27.0,76.0,94.0,262.0,275.0,212.0,443.0,70.0,413.0,203.0,67.0,110.0,5.0,151.0,123.0,51.0,257.0,67.0,1400.0,137.0,177.0,294.0,33.0,253.0,149.0,111.0,608.0,260.0,85.0,57.0,235.0,62.0,92.0,467.0,330.0,222.0,276.0,153.0,136.0,597.0,924.0,242.0,167.0,222.0
Male,"Know it well,  understand the concept",803.0,790.0,606.0,811.0,1867.0,1567.0,848.0,2310.0,1249.0,1081.0,959.0,1070.0,172.0,596.0,1176.0,1157.0,575.0,922.0,1046.0,159.0,811.0,567.0,946.0,1307.0,951.0,478.0,263.0,397.0,421.0,6543.0,1364.0,654.0,826.0,1229.0,876.0,72.0,716.0,990.0,1345.0,337.0,188.0,3880.0,814.0,361.0,146.0,398.0,752.0,715.0,915.0,1043.0,598.0,1126.0,996.0,450.0,878.0,1372.0,5063.0,151.0,2260.0,708.0,567.0,628.0,1112.0,248.0,450.0,667.0,262.0
Male,Never heard of it,48.0,123.0,1463.0,97.0,110.0,464.0,135.0,859.0,48.0,102.0,67.0,90.0,64.0,79.0,64.0,26.0,540.0,21.0,378.0,83.0,66.0,197.0,73.0,20.0,22.0,140.0,61.0,247.0,348.0,272.0,53.0,395.0,103.0,15.0,48.0,3.0,71.0,132.0,51.0,205.0,57.0,621.0,135.0,359.0,485.0,21.0,58.0,66.0,62.0,569.0,124.0,58.0,61.0,622.0,57.0,56.0,203.0,751.0,252.0,76.0,152.0,79.0,780.0,1902.0,182.0,79.0,251.0
