ST04Q01,IC08Q09,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Almost every day,1501.0,352.0,838.0,857.0,356.0,635.0,455.0,560.0,689.0,756.0,599.0,911.0,305.0,592.0,389.0,561.0,355.0,517.0,485.0,3935.0,302.0,533.0,382.0,612.0,31.0,589.0,2963.0,454.0,416.0,516.0,242.0,583.0,773.0,757.0,627.0,542.0,621.0,494.0,3468.0,410.0,1142.0,361.0,604.0
Female,Every day,1175.0,380.0,813.0,920.0,318.0,417.0,434.0,654.0,869.0,658.0,655.0,733.0,230.0,611.0,164.0,889.0,260.0,528.0,633.0,3816.0,297.0,822.0,176.0,605.0,20.0,376.0,2919.0,425.0,327.0,465.0,284.0,554.0,581.0,851.0,655.0,342.0,573.0,583.0,2992.0,334.0,1101.0,354.0,784.0
Female,Never or hardly ever,904.0,596.0,617.0,396.0,230.0,280.0,476.0,296.0,148.0,574.0,197.0,638.0,671.0,372.0,197.0,156.0,237.0,418.0,249.0,2042.0,997.0,969.0,320.0,144.0,28.0,190.0,4563.0,305.0,448.0,217.0,65.0,263.0,324.0,202.0,233.0,315.0,194.0,522.0,1051.0,591.0,865.0,601.0,332.0
Female,Once or twice a month,1289.0,440.0,726.0,418.0,696.0,614.0,369.0,373.0,304.0,607.0,339.0,913.0,429.0,370.0,591.0,265.0,289.0,452.0,313.0,1681.0,618.0,508.0,585.0,310.0,28.0,518.0,2920.0,396.0,392.0,431.0,95.0,398.0,440.0,262.0,281.0,630.0,288.0,513.0,1591.0,445.0,1001.0,446.0,272.0
Female,Once or twice a week,1921.0,526.0,946.0,823.0,1029.0,1137.0,472.0,565.0,574.0,718.0,575.0,1059.0,415.0,568.0,740.0,544.0,422.0,603.0,407.0,2801.0,676.0,586.0,871.0,491.0,29.0,898.0,3276.0,487.0,473.0,554.0,159.0,559.0,665.0,477.0,482.0,889.0,475.0,522.0,2960.0,439.0,1303.0,526.0,378.0
Male,Almost every day,1647.0,464.0,916.0,820.0,370.0,624.0,452.0,580.0,680.0,806.0,560.0,1059.0,406.0,607.0,476.0,540.0,418.0,543.0,425.0,3805.0,402.0,428.0,461.0,570.0,40.0,628.0,3198.0,571.0,447.0,547.0,252.0,502.0,784.0,663.0,557.0,643.0,615.0,646.0,3356.0,421.0,1317.0,465.0,519.0
Male,Every day,1552.0,605.0,1143.0,969.0,388.0,644.0,497.0,948.0,1051.0,883.0,821.0,922.0,444.0,725.0,274.0,949.0,409.0,551.0,639.0,4961.0,411.0,675.0,203.0,763.0,48.0,574.0,3209.0,626.0,418.0,646.0,288.0,710.0,873.0,953.0,838.0,542.0,835.0,914.0,3384.0,629.0,1605.0,546.0,775.0
Male,Never or hardly ever,847.0,352.0,398.0,292.0,236.0,231.0,293.0,252.0,151.0,405.0,200.0,501.0,378.0,297.0,185.0,139.0,202.0,379.0,203.0,1814.0,950.0,878.0,263.0,158.0,13.0,205.0,2993.0,210.0,363.0,229.0,92.0,249.0,220.0,232.0,189.0,294.0,199.0,438.0,1144.0,347.0,603.0,416.0,243.0
Male,Once or twice a month,1089.0,369.0,520.0,375.0,572.0,461.0,265.0,266.0,205.0,417.0,260.0,728.0,334.0,301.0,565.0,163.0,199.0,363.0,267.0,1436.0,541.0,508.0,667.0,183.0,18.0,425.0,2547.0,259.0,331.0,351.0,94.0,240.0,295.0,220.0,200.0,499.0,244.0,408.0,1464.0,319.0,734.0,382.0,199.0
Male,Once or twice a week,1858.0,513.0,820.0,751.0,958.0,946.0,372.0,422.0,429.0,675.0,453.0,1005.0,459.0,516.0,847.0,376.0,364.0,547.0,388.0,2505.0,804.0,522.0,1082.0,388.0,36.0,843.0,3302.0,493.0,462.0,469.0,147.0,454.0,588.0,446.0,398.0,767.0,446.0,605.0,2555.0,410.0,1168.0,593.0,332.0
