ST04Q01,ST28Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,0-10 books ,688,859,679,248,619,3944,542,881,668,260,366,1623,128,1054,588,193,591,164,360,226,341,153,249,346,219,84,685,296,273,1543,304,1107,429,109,196,6,321,231,711,325,146,7686,408,344,232,190,78,1006,199,521,1109,508,210,461,325,369,361,816,189,745,686,815,565,1350,905,492,1034,754
Female,101-200 books ,134,295,1431,453,757,517,415,2299,428,443,498,284,156,141,280,562,595,498,961,123,443,439,443,260,474,394,183,517,457,2924,541,295,325,575,395,39,354,465,255,437,157,876,353,323,412,473,165,197,453,414,784,341,429,271,399,394,416,2840,470,1023,389,118,246,770,1090,401,231,217
Female,11-25 books ,701,806,898,339,710,3051,459,1445,925,551,576,1524,122,608,604,265,660,292,557,215,419,261,483,460,278,163,1021,378,440,2679,415,990,829,207,364,20,408,314,635,668,143,4652,488,388,284,232,165,1049,424,623,1170,639,502,598,549,348,593,1572,281,945,1147,829,638,1301,1071,417,642,702
Female,201-500 books ,53,153,1245,366,561,209,257,1851,246,245,403,91,137,53,169,494,489,424,780,72,307,423,341,178,431,379,79,417,408,2131,391,137,212,574,311,16,284,490,136,209,128,422,231,274,354,473,122,71,297,281,470,226,367,163,333,223,235,2127,431,761,225,40,152,472,914,282,113,68
Female,26-100 books ,441,846,2039,684,1238,2092,720,3284,1059,1056,982,1126,223,472,766,864,1109,776,1378,273,667,595,856,827,667,482,761,748,823,4610,1110,866,1024,634,727,41,782,655,806,991,268,3272,719,628,618,605,285,695,802,845,1311,697,880,728,1025,760,955,3878,695,1705,1187,442,660,1562,1787,733,647,856
Female,More than 500 books,31,76,609,237,307,128,130,900,116,78,274,36,65,20,63,282,233,228,293,29,156,218,184,52,432,185,65,173,304,1189,219,133,106,241,184,13,122,409,52,97,43,175,137,146,192,247,44,38,190,125,412,142,203,102,111,112,105,1320,261,334,83,29,77,278,438,94,63,21
Male,0-10 books ,664,923,908,364,732,3865,749,1308,721,377,447,1442,120,901,705,310,642,233,528,259,421,250,349,539,253,88,702,376,266,2108,271,997,635,123,238,18,474,355,913,355,147,7345,475,482,232,221,113,997,288,629,1137,591,271,613,383,482,654,1111,288,1006,646,806,735,1248,1092,593,896,519
Male,101-200 books ,126,234,1355,335,649,403,337,1959,387,426,493,287,144,126,240,487,520,456,782,120,344,411,429,298,384,433,162,444,389,2667,645,280,303,590,333,33,308,426,205,314,112,771,312,308,418,454,128,173,341,367,708,304,438,241,416,333,411,2491,442,869,243,84,220,684,1010,328,177,166
Male,11-25 books ,661,697,936,393,673,2622,471,1555,839,556,494,1254,139,535,635,367,645,343,652,204,375,285,503,516,308,150,1009,406,353,2888,393,770,879,205,360,24,529,309,695,663,141,4234,470,414,282,287,176,932,457,564,1219,656,531,537,547,462,699,1654,310,945,946,598,674,1308,1050,479,607,733
Male,201-500 books ,61,101,1149,313,544,153,216,1425,217,218,373,93,124,37,131,374,391,375,562,61,282,320,237,227,346,306,70,333,269,1898,546,114,175,711,248,22,171,417,106,160,112,349,196,274,351,369,106,55,240,249,390,196,289,144,311,197,214,2006,351,693,125,33,130,423,781,247,95,58
Male,26-100 books ,495,663,2195,703,1210,1581,672,3220,983,866,880,1034,243,431,715,860,1148,730,1580,249,578,576,811,764,595,549,667,699,635,4644,1083,761,777,719,748,40,712,617,742,851,242,2807,652,631,639,753,307,661,694,848,1440,640,867,622,978,822,1002,3687,693,1628,792,335,590,1568,1872,708,534,801
Male,More than 500 books,34,88,651,217,370,120,165,776,114,87,229,37,58,27,70,218,202,188,225,36,151,227,175,107,353,168,79,174,227,1321,307,183,91,335,154,16,111,488,54,86,63,197,195,146,168,203,60,26,170,134,421,89,179,104,138,103,151,1430,179,392,89,30,71,338,409,115,55,22
