ST04Q01,ST62Q04,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,128.0,291.0,1034.0,233.0,493.0,1478.0,292.0,1472.0,470.0,337.0,264.0,628.0,113.0,314.0,215.0,324.0,452.0,418.0,548.0,117.0,262.0,248.0,269.0,207.0,370.0,65.0,353.0,350.0,242.0,1591.0,465.0,177.0,323.0,111.0,265.0,10.0,333.0,334.0,395.0,290.0,115.0,2573.0,239.0,266.0,328.0,120.0,263.0,343.0,303.0,530.0,259.0,386.0,256.0,324.0,283.0,332.0,663.0,196.0,581.0,335.0,246.0,331.0,476.0,899.0,349.0,412.0,376.0
Female,Heard of it often,301.0,381.0,1113.0,151.0,334.0,1596.0,359.0,1736.0,653.0,190.0,93.0,859.0,121.0,307.0,288.0,247.0,467.0,320.0,347.0,167.0,248.0,144.0,297.0,91.0,264.0,22.0,580.0,350.0,176.0,2413.0,212.0,478.0,528.0,39.0,210.0,7.0,294.0,341.0,335.0,586.0,121.0,2964.0,317.0,307.0,364.0,137.0,546.0,461.0,383.0,503.0,404.0,412.0,380.0,403.0,216.0,458.0,490.0,90.0,479.0,995.0,229.0,368.0,812.0,726.0,360.0,295.0,141.0
Female,Heard of it once or twice,69.0,314.0,704.0,376.0,476.0,1131.0,259.0,904.0,280.0,282.0,323.0,433.0,98.0,232.0,129.0,457.0,347.0,317.0,653.0,93.0,245.0,329.0,347.0,218.0,367.0,98.0,364.0,318.0,279.0,1046.0,443.0,168.0,243.0,323.0,272.0,29.0,275.0,254.0,222.0,218.0,106.0,2020.0,189.0,185.0,239.0,90.0,272.0,261.0,272.0,441.0,200.0,322.0,204.0,184.0,242.0,191.0,1181.0,385.0,724.0,290.0,298.0,235.0,375.0,860.0,274.0,359.0,309.0
Female,"Know it well,  understand the concept",851.0,639.0,1050.0,91.0,442.0,1168.0,482.0,2009.0,624.0,289.0,21.0,687.0,103.0,387.0,827.0,240.0,723.0,236.0,231.0,147.0,366.0,127.0,361.0,59.0,184.0,20.0,197.0,333.0,323.0,3768.0,54.0,1340.0,599.0,13.0,153.0,3.0,314.0,477.0,386.0,501.0,135.0,2621.0,545.0,301.0,251.0,122.0,697.0,392.0,524.0,1558.0,673.0,359.0,488.0,701.0,295.0,559.0,577.0,33.0,655.0,710.0,229.0,207.0,1666.0,587.0,373.0,224.0,65.0
Female,Never heard of it,45.0,304.0,656.0,663.0,964.0,736.0,265.0,929.0,270.0,660.0,1394.0,285.0,118.0,305.0,147.0,484.0,406.0,280.0,1068.0,83.0,378.0,527.0,443.0,817.0,468.0,927.0,357.0,328.0,707.0,1167.0,850.0,168.0,247.0,1040.0,531.0,41.0,297.0,298.0,403.0,180.0,111.0,1240.0,207.0,284.0,220.0,104.0,98.0,146.0,338.0,284.0,117.0,260.0,190.0,209.0,389.0,210.0,5278.0,807.0,1152.0,143.0,464.0,386.0,398.0,1016.0,257.0,426.0,815.0
Male,Heard of it a few times,139.0,283.0,1042.0,295.0,465.0,1377.0,332.0,1338.0,482.0,280.0,305.0,609.0,120.0,250.0,277.0,388.0,472.0,353.0,683.0,143.0,215.0,238.0,292.0,253.0,305.0,107.0,385.0,342.0,212.0,1823.0,387.0,258.0,374.0,171.0,288.0,19.0,323.0,285.0,368.0,330.0,106.0,2421.0,246.0,247.0,360.0,130.0,327.0,370.0,392.0,521.0,257.0,355.0,272.0,317.0,319.0,404.0,824.0,266.0,617.0,310.0,218.0,383.0,489.0,894.0,385.0,342.0,337.0
Male,Heard of it often,311.0,299.0,1166.0,178.0,371.0,1324.0,361.0,1705.0,527.0,194.0,111.0,684.0,117.0,258.0,320.0,258.0,450.0,325.0,466.0,151.0,223.0,170.0,266.0,132.0,256.0,72.0,554.0,351.0,143.0,2451.0,207.0,449.0,463.0,88.0,213.0,8.0,274.0,287.0,292.0,450.0,111.0,2575.0,314.0,331.0,352.0,136.0,499.0,360.0,370.0,513.0,450.0,351.0,353.0,385.0,273.0,506.0,604.0,127.0,475.0,712.0,182.0,366.0,746.0,888.0,370.0,238.0,176.0
Male,Heard of it once or twice,73.0,279.0,637.0,338.0,391.0,1020.0,283.0,837.0,309.0,237.0,375.0,446.0,72.0,192.0,155.0,333.0,342.0,277.0,613.0,101.0,217.0,304.0,256.0,302.0,329.0,154.0,363.0,273.0,220.0,1156.0,491.0,285.0,319.0,446.0,275.0,21.0,281.0,223.0,246.0,251.0,74.0,2047.0,189.0,174.0,203.0,94.0,280.0,225.0,252.0,471.0,266.0,247.0,171.0,199.0,237.0,228.0,1234.0,362.0,683.0,281.0,241.0,267.0,509.0,759.0,246.0,298.0,302.0
Male,"Know it well,  understand the concept",812.0,571.0,1252.0,151.0,551.0,1033.0,418.0,2028.0,587.0,381.0,46.0,553.0,140.0,360.0,758.0,316.0,721.0,306.0,236.0,148.0,385.0,153.0,365.0,99.0,211.0,59.0,174.0,390.0,253.0,3650.0,77.0,804.0,421.0,37.0,193.0,17.0,336.0,577.0,408.0,379.0,162.0,2227.0,456.0,388.0,307.0,129.0,608.0,327.0,513.0,1159.0,545.0,412.0,532.0,670.0,373.0,658.0,704.0,109.0,861.0,456.0,195.0,221.0,1275.0,733.0,380.0,237.0,93.0
Male,Never heard of it,45.0,236.0,613.0,565.0,947.0,693.0,262.0,859.0,234.0,572.0,1065.0,276.0,86.0,234.0,165.0,408.0,345.0,288.0,839.0,65.0,360.0,464.0,442.0,854.0,374.0,673.0,275.0,252.0,563.0,1111.0,959.0,270.0,266.0,1042.0,423.0,40.0,260.0,319.0,456.0,188.0,70.0,1224.0,244.0,274.0,143.0,84.0,78.0,144.0,279.0,477.0,139.0,281.0,147.0,266.0,362.0,207.0,4791.0,626.0,1075.0,130.0,373.0,369.0,524.0,820.0,203.0,363.0,615.0
