ST04Q01,EC06Q01,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,0 to 3 years,501.0,886.0,2868.0,959.0,388.0,562.0,291.0,549.0,1491.0,75.0,367.0,313.0,186.0,399.0,1266.0,1014.0,315.0
Female,10 to 12 years,18.0,45.0,100.0,33.0,78.0,16.0,2.0,24.0,150.0,,3.0,73.0,23.0,9.0,33.0,3.0,18.0
Female,13 years or older,7.0,27.0,49.0,12.0,52.0,7.0,2.0,6.0,76.0,1.0,1.0,41.0,11.0,19.0,5.0,7.0,18.0
Female,4 to 6 years,135.0,168.0,825.0,265.0,207.0,150.0,59.0,78.0,444.0,37.0,116.0,563.0,72.0,77.0,845.0,105.0,59.0
Female,7 to 9 years,37.0,47.0,185.0,45.0,64.0,14.0,12.0,50.0,206.0,2.0,23.0,403.0,43.0,44.0,166.0,33.0,24.0
Male,0 to 3 years,667.0,825.0,3361.0,903.0,280.0,723.0,313.0,616.0,1600.0,137.0,258.0,349.0,249.0,492.0,1171.0,1264.0,432.0
Male,10 to 12 years,22.0,22.0,136.0,18.0,75.0,8.0,4.0,30.0,143.0,,3.0,65.0,27.0,13.0,38.0,13.0,30.0
Male,13 years or older,8.0,22.0,97.0,27.0,44.0,10.0,6.0,16.0,107.0,1.0,1.0,47.0,8.0,9.0,5.0,18.0,32.0
Male,4 to 6 years,170.0,225.0,888.0,267.0,202.0,147.0,95.0,100.0,686.0,80.0,134.0,593.0,96.0,101.0,874.0,212.0,132.0
Male,7 to 9 years,34.0,53.0,197.0,67.0,71.0,24.0,16.0,30.0,210.0,10.0,60.0,373.0,45.0,78.0,193.0,70.0,65.0
