ST04Q01,HOSTCUL,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,-0.0229,,1.0,1.0,,,,,1.0,2.0,
Female,-0.0415,,3.0,,1.0,,,1.0,,,
Female,-0.0874,76.0,64.0,72.0,43.0,103.0,4.0,37.0,63.0,86.0,31.0
Female,-0.3446,,1.0,,,,,,,,
Female,-0.4192,,1.0,,,,,,,,
Female,-0.4566,,,,,,,1.0,,,
Female,-0.5116,,2.0,,1.0,2.0,,,,1.0,
Female,-0.5221,179.0,145.0,112.0,70.0,215.0,8.0,103.0,208.0,220.0,92.0
Female,-0.5724,2.0,1.0,1.0,,,,2.0,,,
Female,-0.5787,1.0,,,,,,,,,
Female,-0.613,,3.0,1.0,1.0,1.0,,,,2.0,
Female,-0.6437,1.0,6.0,,2.0,1.0,,,1.0,,
Female,-0.7452,2.0,1.0,,,,,,,1.0,1.0
Female,-0.9254,1.0,,1.0,,,,,,1.0,
Female,-0.928,66.0,97.0,54.0,22.0,75.0,4.0,24.0,39.0,52.0,31.0
Female,-1.0398,,1.0,,,,,,,,
Female,-1.0986,,1.0,,,2.0,,,,1.0,
Female,-1.1575,2.0,3.0,1.0,,1.0,,,,1.0,3.0
Female,-1.223,59.0,82.0,42.0,10.0,40.0,2.0,30.0,33.0,45.0,36.0
Female,-1.2472,2.0,,,,,,,,,
Female,-1.4028,,1.0,,1.0,,,1.0,,2.0,
Female,-1.4441,1.0,,,,,,,,,
Female,-1.4598,,4.0,,,,,1.0,,,
Female,-1.4707,46.0,87.0,22.0,6.0,6.0,,15.0,13.0,17.0,14.0
Female,-1.5103,1.0,1.0,,,1.0,,,,,
Female,-1.5297,,,,,1.0,,,,,
Female,-1.6909,33.0,41.0,13.0,2.0,11.0,,11.0,7.0,6.0,5.0
Female,-1.699,,,,,,,1.0,,,
Female,-1.7459,,,,,1.0,,1.0,,,
Female,-1.8157,,2.0,,,,,1.0,,,
Female,-1.8317,1.0,,,1.0,,,,,,
Female,-1.8936,13.0,34.0,4.0,,1.0,,6.0,1.0,5.0,3.0
Female,-1.9917,,1.0,,,,,,,,1.0
Female,-2.0212,1.0,,,,,,,,2.0,
Female,-2.0985,7.0,12.0,1.0,,3.0,,3.0,,1.0,
Female,-2.1492,,1.0,,,,,,,,
Female,-2.3476,4.0,17.0,3.0,,,,,,3.0,1.0
Female,-2.8113,11.0,6.0,2.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0
Female,0.0735,,2.0,,1.0,1.0,,,,1.0,
Female,0.185,2.0,2.0,,1.0,,,1.0,1.0,2.0,
Female,0.2184,,,,1.0,,,,,,
Female,0.2655,67.0,65.0,68.0,32.0,132.0,1.0,26.0,59.0,77.0,37.0
Female,0.3107,,1.0,,,,,,,,
Female,0.3959,,1.0,,2.0,1.0,,,1.0,,
Female,0.4232,,,,,,,,,1.0,
Female,0.5284,,,,1.0,1.0,,,1.0,2.0,
