ST04Q01,IC04Q01,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,10-12 years old,1999.0,1127.0,1684.0,1200.0,1051.0,1407.0,921.0,1169.0,1162.0,554.0,408.0,910.0,1058.0,1056.0,477.0,1088.0,383.0,1276.0,481.0,7127.0,1279.0,1105.0,635.0,678.0,55.0,1053.0,6881.0,351.0,484.0,494.0,365.0,954.0,1191.0,1042.0,1013.0,955.0,1089.0,969.0,4282.0,452.0,2619.0,963.0,1023.0
Female,13 years old  or older,371.0,244.0,279.0,366.0,444.0,169.0,541.0,400.0,198.0,44.0,48.0,74.0,241.0,868.0,42.0,248.0,50.0,370.0,136.0,3241.0,303.0,1487.0,69.0,115.0,15.0,201.0,4460.0,18.0,78.0,44.0,347.0,258.0,265.0,1081.0,813.0,152.0,476.0,192.0,716.0,47.0,598.0,519.0,388.0
Female,6 years old or younger,1177.0,142.0,459.0,526.0,177.0,254.0,166.0,132.0,152.0,968.0,574.0,736.0,98.0,79.0,472.0,172.0,304.0,133.0,545.0,656.0,178.0,134.0,249.0,236.0,13.0,231.0,849.0,610.0,482.0,484.0,16.0,197.0,246.0,48.0,42.0,359.0,67.0,255.0,1586.0,462.0,317.0,97.0,209.0
Female,7-9 years old,3261.0,795.0,1540.0,1315.0,908.0,1259.0,603.0,761.0,1084.0,1807.0,1347.0,2556.0,657.0,522.0,1087.0,941.0,864.0,737.0,968.0,3501.0,1140.0,464.0,1379.0,1143.0,54.0,1092.0,4221.0,1084.0,1015.0,1169.0,123.0,950.0,1095.0,379.0,411.0,1260.0,541.0,1231.0,5595.0,1274.0,1919.0,698.0,871.0
Female,Never,4.0,,1.0,8.0,49.0,1.0,12.0,2.0,1.0,,,,,10.0,,1.0,1.0,1.0,12.0,18.0,6.0,267.0,1.0,2.0,,7.0,419.0,,,1.0,4.0,7.0,3.0,20.0,19.0,,4.0,,7.0,,4.0,36.0,3.0
Male,10-12 years old,1871.0,899.0,1264.0,987.0,935.0,1006.0,739.0,1010.0,974.0,453.0,378.0,668.0,844.0,1054.0,486.0,907.0,312.0,1076.0,368.0,6506.0,1375.0,898.0,697.0,646.0,56.0,1000.0,5735.0,289.0,480.0,429.0,351.0,908.0,1019.0,993.0,980.0,832.0,1046.0,919.0,3813.0,367.0,2057.0,970.0,758.0
Male,13 years old  or older,367.0,237.0,223.0,338.0,422.0,182.0,392.0,306.0,185.0,35.0,53.0,58.0,216.0,591.0,63.0,196.0,38.0,292.0,100.0,2375.0,327.0,906.0,97.0,131.0,9.0,215.0,3356.0,19.0,82.0,37.0,349.0,283.0,262.0,1047.0,633.0,170.0,499.0,211.0,668.0,43.0,424.0,441.0,236.0
Male,6 years old or younger,1464.0,235.0,686.0,583.0,240.0,418.0,194.0,222.0,259.0,1201.0,594.0,1045.0,196.0,180.0,613.0,223.0,435.0,202.0,606.0,1344.0,214.0,436.0,343.0,297.0,27.0,329.0,1187.0,818.0,487.0,683.0,16.0,188.0,376.0,81.0,98.0,515.0,149.0,493.0,2063.0,635.0,668.0,154.0,279.0
Male,7-9 years old,3328.0,944.0,1672.0,1320.0,886.0,1298.0,582.0,946.0,1119.0,1535.0,1282.0,2456.0,773.0,625.0,1185.0,857.0,820.0,826.0,863.0,4450.0,1203.0,599.0,1537.0,998.0,62.0,1146.0,4739.0,1039.0,969.0,1090.0,152.0,776.0,1112.0,405.0,486.0,1233.0,647.0,1424.0,5498.0,1089.0,2292.0,849.0,854.0
Male,Never,11.0,7.0,9.0,8.0,44.0,4.0,9.0,5.0,1.0,13.0,3.0,,2.0,19.0,4.0,3.0,4.0,6.0,19.0,50.0,11.0,188.0,1.0,5.0,,3.0,416.0,4.0,7.0,8.0,17.0,19.0,3.0,28.0,16.0,1.0,21.0,5.0,32.0,12.0,22.0,15.0,12.0
