ST04Q01,ST62Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,290.0,258.0,725.0,255.0,344.0,1334.0,242.0,1184.0,480.0,26.0,233.0,560.0,91.0,226.0,266.0,336.0,507.0,114.0,606.0,116.0,222.0,203.0,337.0,250.0,162.0,173.0,295.0,295.0,123.0,1911.0,69.0,68.0,270.0,149.0,147.0,11.0,202.0,330.0,178.0,203.0,107.0,2730.0,213.0,208.0,279.0,40.0,355.0,311.0,196.0,531.0,160.0,108.0,265.0,162.0,364.0,324.0,1104.0,158.0,665.0,366.0,220.0,162.0,263.0,660.0,285.0,312.0,73.0
Female,Heard of it often,227.0,285.0,779.0,331.0,478.0,1228.0,366.0,1184.0,333.0,214.0,819.0,801.0,114.0,238.0,357.0,471.0,700.0,339.0,760.0,172.0,337.0,285.0,315.0,332.0,481.0,81.0,903.0,426.0,245.0,2457.0,633.0,383.0,548.0,621.0,425.0,15.0,368.0,259.0,452.0,610.0,119.0,2902.0,347.0,362.0,283.0,140.0,549.0,336.0,267.0,484.0,439.0,375.0,424.0,404.0,300.0,494.0,1479.0,46.0,516.0,812.0,171.0,553.0,745.0,750.0,376.0,403.0,657.0
Female,Heard of it once or twice,306.0,307.0,680.0,226.0,281.0,1103.0,245.0,1137.0,408.0,27.0,46.0,368.0,65.0,230.0,138.0,216.0,241.0,67.0,433.0,74.0,167.0,173.0,363.0,183.0,80.0,202.0,147.0,190.0,121.0,1386.0,30.0,115.0,205.0,33.0,93.0,24.0,135.0,258.0,108.0,148.0,92.0,2153.0,135.0,109.0,216.0,20.0,289.0,299.0,213.0,450.0,139.0,37.0,168.0,102.0,236.0,180.0,795.0,281.0,723.0,413.0,239.0,112.0,248.0,707.0,169.0,192.0,47.0
Female,"Know it well,  understand the concept",182.0,424.0,1028.0,524.0,1119.0,837.0,662.0,1712.0,202.0,1473.0,981.0,604.0,189.0,276.0,760.0,646.0,804.0,990.0,655.0,174.0,613.0,593.0,335.0,395.0,893.0,95.0,486.0,582.0,1097.0,2806.0,1273.0,1680.0,731.0,718.0,719.0,25.0,714.0,399.0,889.0,700.0,195.0,1942.0,714.0,502.0,226.0,359.0,392.0,396.0,614.0,1297.0,810.0,1190.0,591.0,1071.0,327.0,641.0,3627.0,38.0,861.0,536.0,192.0,594.0,2270.0,803.0,610.0,402.0,927.0
Female,Never heard of it,361.0,642.0,1340.0,186.0,483.0,1610.0,136.0,1857.0,859.0,21.0,15.0,554.0,96.0,566.0,93.0,95.0,148.0,67.0,394.0,74.0,160.0,121.0,357.0,240.0,45.0,581.0,38.0,185.0,147.0,1449.0,19.0,88.0,183.0,13.0,53.0,15.0,95.0,453.0,120.0,120.0,75.0,1680.0,99.0,167.0,397.0,14.0,254.0,260.0,543.0,549.0,102.0,32.0,71.0,81.0,200.0,112.0,1208.0,989.0,844.0,341.0,646.0,125.0,202.0,1174.0,174.0,432.0,22.0
Male,Heard of it a few times,287.0,288.0,813.0,235.0,317.0,1188.0,307.0,1233.0,439.0,56.0,277.0,494.0,102.0,212.0,318.0,366.0,488.0,177.0,652.0,125.0,208.0,184.0,340.0,294.0,171.0,216.0,379.0,309.0,142.0,2022.0,134.0,233.0,310.0,228.0,175.0,12.0,241.0,289.0,232.0,282.0,89.0,2560.0,244.0,200.0,281.0,69.0,412.0,308.0,264.0,567.0,241.0,136.0,312.0,235.0,405.0,396.0,1209.0,186.0,628.0,298.0,161.0,238.0,448.0,745.0,303.0,244.0,133.0
Male,Heard of it often,224.0,229.0,825.0,275.0,486.0,958.0,363.0,1156.0,277.0,255.0,662.0,635.0,110.0,197.0,343.0,390.0,585.0,394.0,719.0,160.0,283.0,230.0,290.0,333.0,438.0,134.0,761.0,439.0,196.0,2359.0,652.0,388.0,514.0,547.0,357.0,17.0,331.0,248.0,378.0,475.0,114.0,2412.0,299.0,386.0,282.0,132.0,416.0,262.0,308.0,438.0,469.0,423.0,325.0,367.0,326.0,510.0,1473.0,90.0,518.0,537.0,148.0,546.0,709.0,796.0,406.0,284.0,594.0
Male,Heard of it once or twice,291.0,300.0,736.0,176.0,224.0,1011.0,250.0,1089.0,397.0,33.0,84.0,399.0,75.0,184.0,175.0,196.0,232.0,99.0,408.0,80.0,158.0,145.0,296.0,213.0,123.0,168.0,229.0,171.0,94.0,1380.0,43.0,272.0,281.0,78.0,116.0,20.0,163.0,227.0,130.0,222.0,72.0,2130.0,215.0,124.0,199.0,23.0,345.0,252.0,214.0,503.0,198.0,63.0,170.0,148.0,278.0,167.0,871.0,308.0,592.0,331.0,212.0,147.0,422.0,633.0,189.0,213.0,55.0
Male,"Know it well,  understand the concept",166.0,333.0,1095.0,638.0,1183.0,707.0,539.0,1562.0,276.0,1284.0,833.0,530.0,180.0,214.0,721.0,610.0,860.0,784.0,590.0,174.0,554.0,614.0,315.0,527.0,691.0,162.0,339.0,500.0,840.0,3063.0,1259.0,916.0,540.0,914.0,655.0,39.0,596.0,553.0,867.0,441.0,172.0,1750.0,550.0,520.0,267.0,323.0,341.0,398.0,558.0,1061.0,643.0,990.0,568.0,932.0,318.0,796.0,3380.0,96.0,1144.0,403.0,152.0,486.0,1616.0,879.0,491.0,330.0,734.0
Male,Never heard of it,395.0,526.0,1243.0,204.0,520.0,1574.0,201.0,1754.0,741.0,40.0,40.0,519.0,68.0,483.0,121.0,138.0,171.0,98.0,473.0,66.0,194.0,153.0,377.0,273.0,60.0,388.0,49.0,189.0,116.0,1381.0,41.0,258.0,198.0,24.0,89.0,17.0,145.0,372.0,164.0,184.0,76.0,1640.0,154.0,195.0,336.0,26.0,280.0,208.0,468.0,577.0,103.0,45.0,104.0,156.0,241.0,132.0,1220.0,804.0,839.0,319.0,523.0,193.0,348.0,1045.0,194.0,408.0,23.0
