ST04Q01,ST93Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Mostly like me,168,172,504,142,385,681,140,559,243,185,145,185,40,89,148,140,287,99,376,40,213,125,224,97,171,113,464,179,210,1553,301,556,124,234,73,15,124,163,177,337,41,893,163,136,146,229,83,221,77,215,671,294,95,128,130,254,310,926,349,449,237,282,174,657,568,104,142,106
Female,Not at all like me,529,425,670,296,368,1388,668,1459,645,148,213,928,150,482,388,354,362,367,366,180,192,224,212,125,361,176,268,284,507,1535,104,504,667,79,351,9,309,285,128,205,127,2926,580,271,194,102,84,505,502,488,645,334,520,482,219,171,226,1665,153,526,451,323,412,760,573,412,466,267
Female,Not much like me,309,611,1810,663,872,2187,456,3019,776,665,876,1014,241,522,564,686,784,708,1101,235,425,626,510,673,611,344,497,644,571,3233,473,450,704,436,591,45,623,652,638,455,250,3856,409,572,537,364,187,605,610,612,859,507,745,494,850,333,557,2968,422,1443,752,386,418,1086,1517,668,638,820
Female,Somewhat like me,170,512,1356,398,964,1613,259,1896,534,687,734,608,111,351,485,513,875,367,880,141,515,383,546,515,476,358,502,487,388,2564,935,509,328,749,404,25,371,486,703,663,131,3100,219,349,424,506,91,405,332,432,774,380,325,354,569,507,551,2288,456,1125,943,310,424,878,1178,367,415,538
Female,Very much like me,143,222,229,57,201,573,103,236,118,52,74,212,12,75,75,54,161,31,142,25,191,32,176,25,73,101,121,90,108,1178,173,345,98,77,31,3,50,74,52,163,19,718,143,58,74,292,107,133,64,105,408,172,57,79,55,196,81,491,201,180,80,195,151,353,308,52,152,47
Male,Mostly like me,161,180,324,141,253,718,167,427,185,120,115,209,29,55,139,140,180,94,276,24,162,95,193,93,150,93,308,116,121,1279,244,378,159,194,72,12,116,167,150,254,21,934,254,147,104,186,95,285,75,263,611,327,78,142,137,267,351,831,263,339,241,241,164,553,357,88,138,91
Male,Not at all like me,515,456,1070,469,564,1145,706,1843,704,314,368,784,177,502,393,385,525,367,479,198,322,398,342,277,306,288,292,368,439,2294,188,462,646,220,352,21,347,503,230,263,171,2932,423,325,288,211,97,459,523,475,669,309,532,493,370,237,302,1944,213,881,382,297,425,891,904,491,498,257
Male,Not much like me,296,510,2155,619,903,1735,432,2861,778,698,910,881,237,487,554,671,872,688,1263,237,478,633,510,805,582,365,544,690,446,3831,590,325,662,608,555,42,655,621,766,399,221,3627,352,591,616,482,190,522,579,630,703,428,770,426,819,397,593,3049,442,1493,515,280,425,902,1742,667,485,676
Male,Somewhat like me,159,350,1128,281,741,1284,221,1490,424,505,511,464,91,253,475,440,648,377,715,103,340,243,428,420,358,291,509,367,268,2152,933,315,299,701,373,21,345,326,623,464,94,2359,212,348,335,470,82,359,240,393,565,362,237,284,474,444,579,1843,403,762,665,231,406,609,933,302,268,404
Male,Very much like me,147,203,178,46,168,688,192,259,84,57,63,214,26,58,79,76,93,45,118,35,112,39,206,31,80,79,143,67,102,796,215,624,138,55,63,2,87,114,72,149,22,764,264,61,45,187,114,136,54,101,711,231,76,131,64,199,184,556,146,175,133,222,197,648,199,47,139,55
